"TID","TH"
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_TITLE","อัปเดตเป็นเวอร์ชั่นใหม่"
"TID_NEED_TO_GIVE_WL_BONUSES","ท่านจำเป็นต้องแจกจ่ายเหรียญโบนัสลีกสงครามก่อนที่จะเริ่มสงคราม"
"TID_NERF_DAMAGE_PERCENTAGE","ลดความเสียหาย: <number>%"
"TID_NEW","ใหม่"
"TID_NEWVILLAGE_LOG_INFO","รอให้คู่ต่อสู้โจมตีเสร็จก่อน การโจมตีที่ดีที่สุดจะชนะ!"
"TID_NEWVILLAGE_LOG_SEARCHING_INFO","โจมตีคู่ต่อสู้ในขณะที่พวกเขาโจมตีท่าน การโจมตีที่ดีที่สุดจะชนะ!"
"TID_NEW_BEST","ที่ดีที่สุดของใหม่"
"TID_NEW_CLAN_MEMBER","ใหม่"
"TID_NEW_ITEMS_UNLOCKED","ปลดล็อคไอเทมใหม่"
"TID_NEW_PLAYER_PRIVACY_SETTINGS_ADVISORY","เกมได้เพิ่มการตั้งค่าข้อมูลส่วนตัวซึ่งปิดอยู่ตามการตั้งค่าเริ่มต้น ท่านอนุญาตให้เปิดข้อมูลหรือไม่?\n\n✅ แสดงในกระดานผู้นำ"
"TID_NEW_RAID","ปล้นสะดมใหม่"
"TID_NEXT","ถัดไป"
"TID_NEXT_LEAGUE","ลีกต่อไป:"
"TID_NEXT_LEVEL","เลเวลถัดไป"
"TID_NEXT_MATCH","ถัดไป"
"TID_NEXT_RAID","ปล้นสะดมครั้งต่อไป"
"TID_NEXT_REPLAY","รีเพลย์ถัดไป"
"TID_NEXT_REQUEST","คำขอครั้งต่อไป:"
"TID_NEXT_REWARDS","ถัดไป"
"TID_NO","ไม่"
"TID_NOTES_LAST_EDITED","แก้ไขครั้งสุดท้ายโดย: <cffffff><name></c>"
"TID_NOTHING_TO_PASTE","ไม่มีอะไรให้วาง"
"TID_NOTICE_ACTIVE_FOR","ทำงานสำหรับ:"
"TID_NOTICE_BOARD_FTUE_ACTIVITY",
"TID_NOTICE_BOARD_FTUE_SUBTEXT","ท่านยังสามารถเปลี่ยนการตั้งค่าได้ในภายหลัง"
"TID_NOTICE_BOARD_FTUE_TITLE","เฮ้ ท่านหัวหน้า! มาหาแคลนที่ดีที่สุดสำหรับท่านโดยเริ่มจากเลือกภาษาของท่านก่อน"
"TID_NOTIFICATION_ARMY","กองทัพ"
"TID_NOTIFICATION_BUILDER_IS_BACK","ช่างก่อสร้างกลับมาแล้ว!"
"TID_NOTIFICATION_CLAN_GAMES","เกมแคลน"
"TID_NOTIFICATION_CLAN_WARS","สงครามแคลน"
"TID_NOTIFICATION_EVENTS","อีเวนท์"
"TID_NOTIFICATION_FORGE_COMPLETE","ทองคำเมืองหลวงพร้อมให้เก็บในโรงหลอมแล้ว!"
"TID_NOTIFICATION_RESOURCES","ทรัพยากรและโบนัสรายวัน"
"TID_NOTIFICATION_SHIELD_AND_GUARD","โล่ป้องกันและโล่พิทักษ์"
"TID_NOTIFICATION_UPGRADES","อัปเกรด"
"TID_NOTIFICATION_VILLAGER_READY","ช่างก่อสร้างฝึกหัดพร้อมเร่งความเร็วการอัปเกรดแล้ว!"
"TID_NOTIFICATION_WL_DAY_CHANGED","วันใหม่เริ่มต้นแล้วในลีกสงครามแคลน วันนี้แคลนของท่านจะรบกับ <clan>"
"TID_NOTIFICATION_WL_ENDED","ลีกสงครามแคลนจบลงแล้ว! มาดูผลงานของแคลนท่านกัน!"
"TID_NOTIFICATION_WL_LEAGUE_STARTED","แคลนของท่านได้เข้าร่วมลีกสงครามแคลนแล้ว!"
"TID_NOTIFICATION_WL_SIGNUP_STARTED","ลีกสงครามแคลนเปิดรับสมัครแล้ว! เกียรติยศและรางวัลรอท่านอยู่!"
"TID_NOT_ENOUGH_BOOSTER","ท่านมี <booster> ไม่เพียงพอ!"
"TID_NOT_ENOUGH_BOOSTERS","ท่านมีไอเทมเวทมนตร์ไม่พอจะทำเช่นนั้น"
"TID_NOT_ENOUGH_BOOSTER_SPACE","พื้นที่ไม่เพียงพอ ใช้งานหรือขายไอเทมเวทมนตร์ที่เก็บเอาไว้อยู่เพื่อเพิ่มพื้นที่"
"TID_NOT_ENOUGH_EVENT_TOKENS","ท่านมี<hard_currency>ไม่เพียงพอ หาเพิ่มได้จากการเก็บ<soft_currency>"
"TID_NOT_ENOUGH_GEAR_RESOURCES","มีทรัพยากรอัปเกรดไม่เพียงพอ!"
"TID_NOT_ENOUGH_HOUSING_SPACE","ท่านไม่มีที่มากพอในค่ายกองทัพ!"
"TID_NOT_ENOUGH_RAID_MEDALS","ท่านมีเหรียญปล้นสะดมไม่พอ หาเพิ่มในสุดสัปดาห์ปล้นสะดมครั้งถัดไป"
"TID_NOT_ENOUGH_RESOURCE","ท่านมี <resource> ไม่เพียงพอ!"
"TID_NOT_ENOUGH_RESOURCE_TWO","ท่านมี <resource1> และ <resource2> ไม่เพียงพอ!"
"TID_NOT_ENOUGH_SPACE_CC","ที่ว่างในปราสาทแคลนไม่เพียงพอ"
"TID_NOT_ENOUGH_SPACE_CC_REQUEST","ที่ว่างในปราสาทแคลนไม่เพียงพอ ยังมีไอเท็มที่ต้องการจากการบริจาค"
"TID_NOT_ENOUGH_SPACE_IN_TREASURY","ศาลากลางของท่านมีพื้นที่ไม่พอสำหรับ <booster>"
"TID_NOT_ENOUGH_SPACE_IN_TREASURY_MULTI","ศาลากลางของท่านมีพื้นที่ไม่พอสำหรับ <booster> จำนวน <num> ชิ้น"
"TID_NOT_ENOUGH_SPELL_STORAGE","คลังอาคมของมีความจุเต็มแล้ว!"
"TID_NOT_ENOUGH_WORKERS_HEADER","ช่างก่อสร้างทั้งหมดกำลังทำงานอยู่!"
"TID_NOT_ENOUGH_WORKERS_TEXT","สร้างสิ่งก่อสร้างก่อนหน้าให้เสร็จเพื่อให้ช่างก่อสร้างว่างหรือไม่?"
"TID_NOT_ENOUGH_WORKERS_TEXT_ARTO","สร้างสิ่งก่อสร้างก่อนหน้าให้เสร็จเพื่อให้ B.O.B ว่างหรือไม่?"
"TID_NOT_ENOUGH_WORKERS_TEXT_GEAR_UP","เตรียมพร้อมสิ่งก่อสร้างให้เสร็จเพื่อให้ช่างก่อสร้างยอดฝีมือว่างหรือไม่?"
"TID_NOT_ENOUGH_WORKERS_TEXT_MASTER_BUILDER","สร้างสิ่งก่อสร้างก่อนหน้าให้เสร็จเพื่อให้ช่างก่อสร้างยอดฝีมือว่างหรือไม่?"
"TID_NOT_UNLOCKED_YET","ยังไม่ได้ปลดล็อค"
"TID_NO_BOOKMARKS","ท่านยังไม่ได้บุ๊กมาร์กแคลนใดไว้\n\nท่านสามารถบุ๊กมาร์กแคลนได้จากหน้าข้อมูลของแคลน"
"TID_NO_CAPITAL_ARMY","เลือกกองทัพเมืองหลวงของท่านก่อนโจมตี"
"TID_NO_CLAN","ไม่มีแคลน"
"TID_NO_DEFENSES_YET","ยังไม่มีการป้องกัน"
"TID_NO_EVENTS_CONTENT","ไม่มีอีเวนท์อยู่ในตาราง ณ ขณะนี้\nกลับมาดูอีกครั้งได้ในภายหลัง!"
"TID_NO_EVENTS_TITLE",
"TID_NO_FACEBOOK_FRIENDS","หาเพื่อนใน Facebook ที่เล่น Clash of Clans ไม่พบ"
"TID_NO_FREE_TRAINING_SLOT_AVAILABLE","ลบหน่วยที่มีอยู่ก่อน"
"TID_NO_FRIENDLY_ARMY","ท่านต้องสร้างกองทัพฉันมิตรก่อน"
"TID_NO_MATCHING_RESULTS_FOUND","ไม่พบผลลัพธ์ที่ตรงกัน"
"TID_NO_MESSAGES","ไม่มีข้อความใหม่ในขณะนี้"
"TID_NO_MESSAGES_TEXT","เมื่อท่านสร้างปราสาทแคลนขึ้นมาใหม่แล้ว ท่านจะได้รับคำเชิญเข้าร่วมแคลนที่นี่"
"TID_NO_MORE_CALL_FOR_TARGETS","ท่านครอบครองเป้าหมายไปแล้ว"
"TID_NO_OPENID_LOGIN_DISALLOWED_TENCENT","根据相关部门的最新防沉迷规则，请您打开设备设置，将设备语言切换至简体中文后，即可使用QQ/微信账号登录游戏。"
"TID_NO_OPENID_LOGIN_KUNLUN_ACCOUNTS","此账号已成功完成绑定，请您继续使用原有方式登录，后续登录方式请留意官方公告。"
"TID_NO_PRIVILEDGE_TO_EDIT","ท่านต้องมีอันดับในแคลนตนเองสูงกว่านี้จึงจะสามารถแก้ไขหมายเหตุได้"
"TID_NO_RAIDS_MADE_YET","ยังไม่ได้ปล้นสะดม"
"TID_NO_RIGHTS_TO_EDIT_DISTRICT_LAYOUT","ผู้นำและผู้นำร่วมเท่านั้นที่แก้ไขผังเขตได้"
"TID_NO_SHIELD","ไม่มีโล่ป้องกัน"
"TID_NO_SPELLS","ท่านต้องปรุงอาคมสักหน่อยก่อน"
"TID_NO_TREASURY_LOOT_TO_COLLECT","กรมคลังว่างเปล่า! ไม่มีอะไรให้เก็บ"
"TID_NO_TROOPS","ท่านต้องฝึกกองกำลังสักหน่อยก่อน"
"TID_NPC1","ด่านหน้าก็อบลิน"
"TID_NPC10","เมืองก็อบโบ้"
"TID_NPC11","ป. ปืนครก"
"TID_NPC12","ระเบิดตูมตาม"
"TID_NPC13","วัตถุไม่เขยื้อน"
"TID_NPC14","ปราการปุ่มปม"
"TID_NPC15","หอสังเกตการณ์"
"TID_NPC16","ทองคำคนโง่"
"TID_NPC17","ทางสัญจร"
"TID_NPC18","ปราสาทเด้งดึ๋ง"
"TID_NPC19","ฟิโควา"
"TID_NPC2","ป้อมปราการหิน"
"TID_NPC20","เขตอาคมก็อบโบ้"
"TID_NPC21","แดนนี่บอย"
"TID_NPC22","ต้นบีชโอมมาห์ฮา"
"TID_NPC23","กำแพงเหล็กกล้า"
"TID_NPC24","การป้องกันแบบซิซิเลียน"
"TID_NPC25","หอคอยออบซิเดียน"
"TID_NPC26","หัวลูกศร"
"TID_NPC27","พรมแดง"
"TID_NPC28","แนวป้องกันทางธรรมชาติ"
"TID_NPC29","ถุงมือเหล็กกล้า"
"TID_NPC3","หมัดก็อบลิน"
"TID_NPC30","เล่ห์ราชินี"
"TID_NPC31","เปิดด้านหน้า"
"TID_NPC32","ลิงสวมเกราะ"
"TID_NPC33","หอคอยง่อนแง่น"
"TID_NPC34","คนชี้ทาง"
"TID_NPC35","เอบวกบวก"
"TID_NPC36","ปิกนิกก็อบลิน"
"TID_NPC37","ยั่วให้อยากแล้วสลับไป"
"TID_NPC38","ความเสียหายข้างเคียง"
"TID_NPC39","เลือกให้ดีๆ"
"TID_NPC4","เผ่นหนีลูกปืนใหญ่"
"TID_NPC40","ชั่วช้าขั้นสุด"
"TID_NPC41","สะเก็ดคริสตัล"
"TID_NPC42","เย็นอย่างน้ำแข็ง"
"TID_NPC43","กระโดดโลดเต้น"
"TID_NPC44","ซิงค์ครัว"
"TID_NPC45","กลิ้งสยอง"
"TID_NPC46","คฤหาสน์โอ่อ่า"
"TID_NPC47","บ้านฮาเฮของ P.E.K.K.A"
"TID_NPC48","หอคอยเชอร์เบท"
"TID_NPC49","ราชันก็อบลิน v.1"
"TID_NPC5","ปากกระบอกคู่ควันขโมง"
"TID_NPC50","ราชันก็อบลิน v.2"
"TID_NPC51","ผู้รุกราน"
"TID_NPC52","หน้าไม้และคันศร"
"TID_NPC53","เที่ยวชมป่าลึก"
"TID_NPC54","โครงกระดูกวิ่ง"
"TID_NPC55","ฝึกซ้อมเวทมนตร์"
"TID_NPC56","แรงกดดันสูง"
"TID_NPC57","เขตปลอดการบิน"
"TID_NPC58","พิธีจบการศึกษา"
"TID_NPC59","น้ำมันรัตติกาล"
"TID_NPC6","ตื่นทอง"
"TID_NPC60","การโจมตีจากทุกมุม"
"TID_NPC61","ความรู้สึกอันเร่าร้อน"
"TID_NPC62","การแก้ปัญหาจากใต้ดิน"
"TID_NPC63","โอกาสแห่งความร่วมมือ"
"TID_NPC64","กระดานโบว์ลิ่ง"
"TID_NPC65","คงความเจ๋ง"
"TID_NPC66","ณ ที่อินทรีหาญ"
"TID_NPC67","บริษัท ดอกไม้ไฟ จำกัด"
"TID_NPC68","เมืองหลวงก็อบลิน"
"TID_NPC69","เลือกหนทางตาย"
"TID_NPC7","แนวป้องกันมาจิโนต์"
"TID_NPC70","สนามประลอง"
"TID_NPC71","แผนที่กระดาษ"
"TID_NPC72","ปักแจ้งกับดัก"
"TID_NPC73","ถนนสายหลัก"
"TID_NPC74","ศัตรูรุมล้อม"
"TID_NPC75","รังมังกร"
"TID_NPC76","ค้างคาวแปลงกาย"
"TID_NPC77","แหวนแห่งอำนาจ"
"TID_NPC78","ช่องว่างลึกลับ"
"TID_NPC79","จับตาเป้าหมาย"
"TID_NPC8","หุบเหวหนู"
"TID_NPC80","ทีเล่นทีจริง"
"TID_NPC81","ยักษ์ใหญ่ไททานิค"
"TID_NPC82","เปลวไฟเย็นยะเยือก"
"TID_NPC83","สถานการณ์ไม่ปรกติ"
"TID_NPC84","เส้นทางสู่ความเจ็บปวด"
"TID_NPC85","นครช่างก่อสร้าง"
"TID_NPC86","เสามรณะยักษ์"
"TID_NPC87","ปวดหัวแทบระเบิด"
"TID_NPC88","จตุรัสพิษกลางเมือง"
"TID_NPC89","สถานการณ์บีบคั้นคลี่คลาย"
"TID_NPC9","ใช้แต่กำลัง"
"TID_NPC90","โรงพยาบาลประสาทของ M.O.M.M.A"
"TID_NPC_ATTACK_BUTTON","โจมตี"
"TID_NPC_CHALLENGE_ACTIVATE_QUEEN_ABILITY","ได้เวลาเปิดใช้<c9916c8>ความสามารถของราชินี</c>"
"TID_NPC_CHALLENGE_BOWIGI_ARCHERQUEEN","ส่ง<c9916c8>ราชินีธนู</c>ของท่านไว้ด้านหน้าของ<c54a0fe>ของผู้เยียวยา</c>"
"TID_NPC_CHALLENGE_BOWIGI_BALLOON1","<c54a0fe>บอลลูน</c>สามารถทำลายกับดักที่อาจเป็นอันตรายต่อ<c54a0fe>ผู้เยียวยา</c>ของท่าน ส่งบอลลูนหนึ่งลำตอนนี้!"
"TID_NPC_CHALLENGE_BOWIGI_BOWLERS","<c54a0fe>นักขว้างหิน</c>คือผู้ทำความเสียหายหลัก ส่งพวกเขาไปที่ตรงกลางและด้านล่างของฐาน!"
"TID_NPC_CHALLENGE_BOWIGI_CLEANUP","ส่งกองกำลังที่เหลือลงไปเพื่อช่วยกวาดล้าง"
"TID_NPC_CHALLENGE_BOWIGI_FREEZE1","ใช้<c38eaff>อาคมแช่แข็ง</c>กับ<cf70d16>หอคอยเพลิงนรก</c>ก่อนที่หอคอยจะโค่น<c54a0fe>เครื่องถล่มกำแพง</c>ของท่านลงได้!"
"TID_NPC_CHALLENGE_BOWIGI_FREEZE2","คราวนี้ใช้<c38eaff>อาคมแช่แข็ง</c>กับ<cf70d16>หอคอยเพลิงนรก</c>หอที่สอง!"
"TID_NPC_CHALLENGE_BOWIGI_GIANTS","ส่ง<c54a0fe>ยักษ์</c>เข้าไปตรงกลางและด้านล่างของฐาน"
"TID_NPC_CHALLENGE_BOWIGI_HEALERS","เพื่อเริ่มควีนวอล์ก ส่ง<c54a0fe>ผู้เยียวยา</c>ของท่านไปที่มุมฐาน"
"TID_NPC_CHALLENGE_BOWIGI_KINGABILITY","พลังชีวิตของ<c9916c8>ราชันคนเถื่อน</c>กำลังลดลง เปิดใช้<c9916c8>ความสามารถ</c>ของเขา!"
"TID_NPC_CHALLENGE_BOWIGI_QUEENABILITY","ใช้<c9916c8>ความสามารถของราชินีธนู</c> หากเธอพบกับปัญหา!"
"TID_NPC_CHALLENGE_BOWIGI_RAGE2","ใช้<cf07bf8>อาคมคลุ้มคลั่ง</c>เพื่อช่วยให้กองทัพของท่านผ่านตรงกลางและด้านล่างของฐานไปให้ได้!"
"TID_NPC_CHALLENGE_BOWIGI_WALLBREAKERS","ใช้<c54a0fe>นักระเบิดกำแพง</c>บริเวณด้านล่างฐานเพื่อช่วยเปิดทางให้กับ<c54a0fe>นักขว้างหิน</c>!"
"TID_NPC_CHALLENGE_BOWIGI_WALLWRECKER","ตามด้วย<c54a0fe>เครื่องถล่มกำแพง</c>, <c9916c8>ผู้คุมยิ่งใหญ่</c> และ<c9916c8>ราชันคนเถื่อน</c>"
"TID_NPC_CHALLENGE_BOWIGI_WITCHES","<c54a0fe>แม่มด</c>จะช่วยป้องกันกองกำลังที่เหลือของท่าน ส่งพวกเธอไปที่กลุ่มกองกำลังหลักของท่าน"
"TID_NPC_CHALLENGE_DEPLOY_AIR_GRAND_WARDEN","คราวนี้ส่ง<c9916c8>ผู้คุมยิ่งใหญ่</c>ของท่าน ลองใช้โหมดบินดูสิ!"
"TID_NPC_CHALLENGE_DEPLOY_ARCHER_QUEEN","ส่ง<c9916c8>ราชินีธนู</c>"
"TID_NPC_CHALLENGE_DEPLOY_BARBARIAN_KING","ส่ง<c9916c8>ราชันคนเถื่อน</c>"
"TID_NPC_CHALLENGE_FOUR_EARTHQUAKES","<ca9561f>อาคมแผ่นดินไหว</c>เมื่อใช้ 4 ครั้งจะทำลายกำแพงได้เสมอ ใช้อาคมเพื่อเปิดทางเข้าฐาน!"
"TID_NPC_CHALLENGE_GET_RID_OF_CC_WITH_POISON","ใช้<ce98714>อาคมพิษ</c>เพื่อกำจัดหน่วยในปราสาทแคลนของศัตรู"
"TID_NPC_CHALLENGE_HEALERS_TO_SUPPORT_QUEEN","ส่ง<c54a0fe>ผู้เยียวยา</c>เพื่อช่วยสนับสนุน<c9916c8>ราชินีธนู</c>"
"TID_NPC_CHALLENGE_INFO_AIR_SWEEPER","เข้าโจมตีฐานจากทางด้านหลังของ<cf70d16>เครื่องกวาดอากาศ</c>"
"TID_NPC_CHALLENGE_JUMP_TO_CLOSED_COMPARTMENTS","ใช้<c85ff3b>อาคมกระโดด</c>เพื่อเข้าไปในพื้นที่ปิด!"
"TID_NPC_CHALLENGE_LOON_1","ส่ง<c54a0fe>บอลลูน</c>จำนวนมากออกไปเพื่อจัดการการป้องกัน เป้าหมายอันดับแรกของท่านคือ<cf70d16>การป้องกันทางอากาศ</c>"
"TID_NPC_CHALLENGE_LOON_2","ส่งบอลลูนหลายๆ กลุ่มเพื่อลดความเสียหายที่กระจายจาก\nกับดักและ<cf70d16>หอคอยพ่อมด</c>"
"TID_NPC_CHALLENGE_LOON_3","พุ่งเป้าหมายไปที่การทำลายการป้องกันที่โจมตีหน่วยในอากาศก่อน!"
"TID_NPC_CHALLENGE_LOON_4","ทำลาย<cf70d16>หอคอยพลธนู</c>หอสุดท้ายด้วย<c54a0fe>บอลลูน</c>ที่เหลือ"
"TID_NPC_CHALLENGE_POISON_TO_SLOW_DOWN_QUEEN","ใช้<ce98714>อาคมพิษ</c>เพื่อลดความเร็วของ<cf70d16>ราชินีศัตรู</c>"
"TID_NPC_CHALLENGE_PROGRESS_WARNING_TEXT","ท่านทำได้ยอดเยี่ยม! ท่านอยากฝึกซ้อมโดยไม่เปิดดูขั้นตอนการส่งกองกำลังสู่สนามรบหรือไม่?"
"TID_NPC_CHALLENGE_PROGRESS_WARNING_TITLE","เยี่ยมมาก!"
"TID_NPC_CHALLENGE_RAGE_ON_ENTRANCE","ใช้<cf07bf8>อาคมคลุ้มคลั่ง</c>บริเวณทางเข้าเพื่อให้กองกำลังส่วนใหญ่ได้ประโยชน์ไปด้วย"
"TID_NPC_CHALLENGE_RAGE_THE_HEALERS","ใช้<cf07bf8>อาคมคลุ้มคลั่ง</c>เพื่อทำให้<c54a0fe>ผู้เยียวยา</c>ทำงานได้เกินพิกัด"
"TID_NPC_CHALLENGE_RAGE_TOUGH_TARGETS","ใช้<cf07bf8>อาคมคลุ้มคลั่ง</c>เพื่อช่วยโค่นเป้าหมายโหดๆ"
"TID_NPC_CHALLENGE_SPELLS_TO_CLEAN_UP","ใช้อาคมที่เหลือเพื่อจัดการฐาน"
"TID_NPC_CHALLENGE_TH10_BOBAT_ARCHER_QUEEN","ส่ง<c9916c8>ราชินีธนู</c>เพื่อทำลาย<cf70d16>หอคอยพ่อมด</c>สองหลังและเพื่อปกป้อง<c54a0fe>ค้างคาว</c>ของท่านในภายหลัง"
"TID_NPC_CHALLENGE_TH10_BOBAT_BATWAVE","ใช้<c9916c8>อาคมค้างคาว</c>เพื่อสร้างฝูง<c54a0fe>ค้างคาว</c>ขนาดใหญ่ที่ช่วยกำจัดการป้องกันที่เหลือได้อย่างรวดเร็ว"
"TID_NPC_CHALLENGE_TH10_BOBAT_BOWLERS","ส่ง<c54a0fe>นักขว้างหิน</c>เพื่อช่วยสนับสนุนการโจมตี"
"TID_NPC_CHALLENGE_TH10_BOBAT_FREEZES","ใช้<c38eaff>อาคมแช่แข็ง</c>กับการป้องกันใดก็ตามที่มีเป้าหมายทางอากาศเพื่อช่วยเหลือ<c54a0fe>ค้างคาว</c>"
"TID_NPC_CHALLENGE_TH10_BOBAT_PEKKAS","ส่ง <c54a0fe>PEKKA</c> ลงไปเปิดทาง"
"TID_NPC_CHALLENGE_TH10_BOBAT_RAGE","ใช้<cf07bf8>อาคมคลุ้มคลั่ง</c>เพื่อเพิ่มพลังให้กับ<c9916c8>ราชินีธนู</c>และ<c54a0fe>นักระเบิดกำแพง</c>"
"TID_NPC_CHALLENGE_TH10_BOBAT_WALL_BREAKERS","ทำลายกำแพงเพื่อไปยัง<cf70d16>หอคอยพ่อมด</c> <c54a0fe>นักระเบิดกำแพง</c>ทำความเสียหายให้กับกำแพงมากกว่าเดิมถ้าอยู่ภายใต้<cf07bf8>อาคมคลุ้มคลั่ง</c>!"
"TID_NPC_CHALLENGE_TH10_BOBAT_WALL_WRECKER","ใช้กองกำลังที่เหลือเพื่อทำลาย<cf70d16>หอคอยพ่อมด</c>และ<cf70d16>หอคอยเพลิงนรกแบบหลายเป้าหมาย</c>ที่เหลือโดยเริ่มจาก<c54a0fe>เครื่องถล่มกำแพง</c>"
"TID_NPC_CHALLENGE_TH10_MINER_ARCHER_QUEEN","ส่ง<c9916c8>ราชินีธนู</c> เธอจะเดินทวนเข็มนาฬิกาไปรอบๆ ฐาน"
"TID_NPC_CHALLENGE_TH10_MINER_BARBARIAN_KING","ส่ง<c9916c8>ราชันคนเถื่อน</c> เขาจะเบนความสนใจการป้องกันของศัตรูไม่ให้โจมตี<c54a0fe>คนงานเหมือง</c>"
"TID_NPC_CHALLENGE_TH10_MINER_HEALERS","ส่ง<c54a0fe>ผู้เยียวยา</c>เพื่อรักษาชีวิตของ<c9916c8>ราชินีธนู</c>!"
"TID_NPC_CHALLENGE_TH10_MINER_HEALS","ใช้อาคมเยียวยาเพื่อรักษาชีวิตของ<c54a0fe>คนงานเหมือง</c>เมื่อพวกเขาถูกโจมตีอย่างหนัก"
"TID_NPC_CHALLENGE_TH10_MINER_MINERS","ตอนนี้<c54a0fe>คนงานเหมือง</c>ของท่านจะมีเส้นทางปลอดภัยรอบๆ ฐาน"
"TID_NPC_CHALLENGE_TH10_MINER_RAGE","ใช้<cf07bf8>อาคมคลุ้มคลั่ง</c>บริเวณทางเข้าเพื่อกำจัด<cf70d16>หอคอยเพลิงนรก</c>อย่างรวดเร็วก่อนที่สิ่งก่อสร้างจะเผา<c54a0fe>ผู้เยียวยา</c>ของท่าน!"
"TID_NPC_CHALLENGE_TH10_MINER_TEST_WALL_BREAKER","ส่ง<c54a0fe>นักระเบิดกำแพง</c>เพื่อตรวจสอบดูว่ามี<cf70d16>ระเบิด</c>อยู่ใกล้ๆ กำแพงหรือไม่"
"TID_NPC_CHALLENGE_TH10_MINER_WALL_BREAKERS","ส่ง<c54a0fe>นักระเบิดกำแพง</c>ที่เหลือไปยังกำแพงและส่ง<c9916c8>ราชินีธนู</c>เข้าไปข้างใน"
"TID_NPC_CHALLENGE_TH10_MINER_WIZARDS1","ส่ง<c54a0fe>พ่อมด</c>เพื่อเคลียร์สิ่งก่อสร้างบางส่วน ซึ่งเป็นการรับประกันว่า<c9916c8>ราชินีธนู</c>จะอยู่ด้านในของหมู่บ้าน"
"TID_NPC_CHALLENGE_TH10_MINER_WIZARDS2","ส่ง<c54a0fe>พ่อมด</c>บางส่วนไปจัดการสิ่งก่อสร้างบริเวณมุมและด้านข้างฐานเพื่อให้<c54a0fe>คนงานเหมือง</c>ทำงานได้อย่างเต็มที่"
"TID_NPC_CHALLENGE_TH10_MINER_WIZARDS3","ส่ง<c54a0fe>พ่อมด</c>ที่เหลือเพื่อดูให้แน่ใจว่า<c54a0fe>คนงานเหมือง</c>อยู่ข้างในฐาน"
"TID_NPC_CHALLENGE_TH11_EDRAG_ARCHER_QUEEN","ส่ง<c9916c8>ราชินีธนู</c>เพื่อวางตำแหน่งกองกำลังให้เสร็จสมบูรณ์"
"TID_NPC_CHALLENGE_TH11_EDRAG_BALLOONS","สุดท้ายส่ง<c54a0fe>บอลลูน</c>"
"TID_NPC_CHALLENGE_TH11_EDRAG_BATTLE_BLIMP","ใช้<c54a0fe>เรือเหาะรบ</c>เพื่อส่ง<c54a0fe>มังกรไฟฟ้า</c>ไปกลางฐานและทำลาย\n<cf70d16>ปืนใหญ่อินทรี</c>"
"TID_NPC_CHALLENGE_TH11_EDRAG_CLONES","ใช้<ca0c0fe>อาคมร่างโคลน</c>เพื่อเพิ่มจำนวน<c54a0fe>บอลลูน</c>ที่ใจกลางฐาน"
"TID_NPC_CHALLENGE_TH11_EDRAG_DEPLOY_BLIMP","เปิดใช้<c54a0fe>เรือเหาะรบ</c>เพื่อส่งกองกำลังปราสาทแคลนที่อยู่ข้างใน"
"TID_NPC_CHALLENGE_TH11_EDRAG_EDRAGS","ส่ง<c54a0fe>มังกรไฟฟ้า</c>ที่เหลือเป็นแถว"
"TID_NPC_CHALLENGE_TH11_EDRAG_FUNNEL_EDRAG1","ฐานนี้มีจุดอ่อนอย่างรุนแรงต่อ<c54a0fe>มังกรไฟฟ้า</c> ส่งมังกรไฟฟ้าหนึ่งตัวเพื่อทำลาย<cf70d16>การป้องกันทางอากาศ</c>ด้วยสายฟ้าฟาด"
"TID_NPC_CHALLENGE_TH11_EDRAG_FUNNEL_EDRAG2","ส่ง<c54a0fe>มังกรไฟฟ้า</c>หนึ่งตัวเพื่อจัดการมุมฐาน"
"TID_NPC_CHALLENGE_TH11_EDRAG_GRAND_WARDEN","ส่ง<c9916c8>ผู้คุมยิ่งใหญ่</c>เพื่อสนับสนุน<c54a0fe>มังกรไฟฟ้า</c> อย่าลืมใช้โหมดบินเพื่อหลีกเลี่ยงกับดักบนพื้น!"
"TID_NPC_CHALLENGE_TH11_EDRAG_RAGE1","ใช้<cf07bf8>อาคมคลุ้มคลั่ง</c>เพื่อเพิ่มพลังโจมตี"
"TID_NPC_CHALLENGE_TH11_LAVALOON_BALLOONS1","ส่ง<c54a0fe>บอลลูน</c>เกือบทั้งหมดออกไป"
"TID_NPC_CHALLENGE_TH11_LAVALOON_BALLOONS2","ส่ง<c54a0fe>บอลลูน</c>บางส่วนเพื่อช่วยเคลียร์พื้นที่อย่างรวดเร็ว"
"TID_NPC_CHALLENGE_TH11_LAVALOON_BALLOONS3","ส่ง<c54a0fe>บอลลูน</c>ที่เหลืออยู่"
"TID_NPC_CHALLENGE_TH11_LAVALOON_BARBARIAN_KING","ส่ง<c9916c8>ราชันคนเถื่อน</c>"
"TID_NPC_CHALLENGE_TH11_LAVALOON_HASTE1","บอลลูนเคลื่อนไหวช้า ใช้<cf07bf8>อาคมเร่งรีบ</c>เพื่อเพิ่มความเร็วให้บอลลูน! ลองใช้หลายๆ นิ้วดู"
"TID_NPC_CHALLENGE_TH11_LAVALOON_HASTE2","ใช้<cf07bf8>อาคมเร่งรีบ</c>ที่เหลืออยู่เพื่อช่วย<c54a0fe>บอลลูน</c>ในการกวาดล้าง!"
