"TID","RU"
"TID_HINT_SHIELD","Выходите из Clash of Clans? Купите щит для защиты трофеев!"
"TID_HINT_SHIELD2","Щит защищает вас от любых атак, но ваши собственные нападения уменьшат время его действия."
"TID_HINT_SHIELD_GAIN","Если нападающий уничтожает вашу деревню, вы получаете щит бесплатно."
"TID_HINT_SHIELD_GAIN_TIME","Если ваша деревня сильно пострадала, вы получаете щит на большее время."
"TID_HINT_SHIELD_LOSE","Если вы нападете на другого игрока, пока поднят ваш щит, время его действия уменьшится на несколько часов."
"TID_HINT_SHIELD_SINGLE_PLAYER","Вы можете атаковать орду гоблинов (выполнять одиночные задания), не теряя ваш активный щит."
"TID_HINT_SIEGE BARRACKS","Осадные казармы хороши в начале атаки, когда они могут послужить прикрытием для всей остальной армии!"
"TID_HINT_SINGLE_PLAYER_REWARDS","Нужно больше золота? Отвоюйте его у гоблинов на одиночном задании!"
"TID_HINT_SPELL_EARTHQUAKE1","Землетрясущие заклинания могут серьезно навредить небольшим группам крепких зданий."
"TID_HINT_SPELL_EARTHQUAKE2","Землетрясущие заклинания наносят меньше урона, если их использовать на тех же зданиях несколько раз."
"TID_HINT_SPELL_FREEZE","Под действием замораживающего заклинания здания и войска не могут обороняться."
"TID_HINT_SPELL_FREEZE_DURATION","Улучшите замораживающее заклинание, чтобы обезвредить защиту и войска на более долгий срок."
"TID_HINT_SPELL_HEALING","Исцеляющее заклинание создает кольцо исцеления, который лечит находящихся внутри воинов."
"TID_HINT_SPELL_JUMP","Заклинание прыжка временно создает проход для ваших войск через стены противника."
"TID_HINT_SPELL_JUMP_2","Используйте заклинание прыжка, чтобы перенаправить солдат, атакующих стену в ближнем бою!"
"TID_HINT_SPELL_JUMP_DURATION","Улучшите заклинание прыжка, чтобы ваши воины могли дольше перепрыгивать стены."
"TID_HINT_SPELL_LIGTHNING","Грозовое заклинание наносит урон строениям и воинам в небольшой области."
"TID_HINT_SPELL_POISON_CLOUD1","Ядовитые заклинания очень эффективны против больших групп скелетов."
"TID_HINT_SPELL_POISON_CLOUD2","В облаке ядовитого заклинания ваши войска будут куда эффективнее против солдат крепости клана."
"TID_HINT_SPELL_RAGE","Заклинание ярости создает кольцо ярости, в котором ваши воины станут сильнее и быстрее."
"TID_HINT_SPELL_SPEEDUP","Спешные заклинания отлично подходят для сильных, но медлительных воинов, например для воздушных шаров и П.Е.К.К.А."
"TID_HINT_STAR_BONUS","Получайте звездный бонус ежедневно за победу над другими игроками."
"TID_HINT_STAR_BONUS_LEAGUE","Чем выше лига, тем больше звездный бонус!"
"TID_HINT_STORAGES_SPELL_IMMUNITY","Заклинания не наносят вред хранилищам!"
"TID_HINT_SWAP_TROOPS","Хотите изменить стратегию перед атакой? Коснитесь зеленых стрелок, чтобы поменять войска."
"TID_HINT_TESLA_HIDDEN","Потайная тесла — это башня, скрытая от нападающих, до тех пор пока они не приблизятся."
"TID_HINT_TESLA_TARGET","Потайная тесла может атаковать воздушных и наземных противников."
"TID_HINT_TH12_MAX_LEVEL_WEAPON","Будьте осторожны с полностью улучшенной ратушей 12-го уровня — при уничтожении она взрывается!"
"TID_HINT_TH12_WEAPON","У ратуши 12-го уровня есть оружие, активирующееся, когда ей наносят урон. Действуйте осторожно!"
"TID_HINT_TOXIC_MINION","Разместите радиоактивных миньонов вдали от вражеских зданий и воспользуйтесь их способностью «Заряд энергии»."
"TID_HINT_TRADER","У торговца на краю деревни еженедельно появляются новые волшебные товары. Не забывайте о раздачах подарков!"
"TID_HINT_TRAPS_TARGET","Ловушки скрыты от нападающих, пока те не подойдут достаточно близко."
"TID_HINT_TRAP_REPAIR","Ловушки и бомбы нужно перезарядить, после того как они были использованы."
"TID_HINT_TRAP_UPGRADING","Обязательно улучшите ловушки, чтобы держать незваных гостей на расстоянии."
"TID_HINT_TREASURY","Сокровищница защищает бонусы войны кланов и звездный бонус в крепости клана."
"TID_HINT_TROOP_ABILITIES","Открывайте и улучшайте особые способности войск в обсерватории."
"TID_HINT_TROPHY_COUNT","Выигранные вами трофеи списываются со счета противника!"
"TID_HINT_UNLOCKS","Улучшите ратушу, чтобы открыть новые строения и улучшения для старых."
"TID_HINT_UPGRADE_CANNONS","Улучшите пушки, чтобы усовершенствовать защиту от чужаков."
"TID_HINT_UPGRADE_MINES","Кончилось золото? Улучшите золотые шахты!"
"TID_HINT_UPGRADE_TROOPS","Усовершенствуйте армию! Постройте лабораторию и улучшите свои войска."
"TID_HINT_UPGRADE_WALLS","Улучшите стены, чтобы защититься от противников."
"TID_HINT_USABLE_WHILE_UPGRADING","Лагеря, крепости клана и хранилища продолжают работать во время улучшения."
"TID_HINT_USE_SPELLS","Заклинания могут сильно повлиять на исход сражения. Обязательно используйте их!"
"TID_HINT_VERSUS_BATTLE1","Заработайте больше звезд, чтобы победить в бою деревни строителя! В случае ничьей исход боя определяется процентом разрушений."
"TID_HINT_VERSUS_BATTLE2","Чем больше у вас трофеев, тем лучше награда за бой в деревне строителя!"
"TID_HINT_VERSUS_BATTLE3","Победите в трех боях деревни строителя за день, чтобы получить дополнительную добычу."
"TID_HINT_VERSUS_BATTLE4","Не можете выиграть бой в деревне строителя? Посмотрите повторы сражений других игроков и попробуйте улучшить свою защиту!"
"TID_HINT_VILLAGE_EDIT_MODE","Расстановку строений в деревне можно легко поменять в режиме изменения деревни."
"TID_HINT_WALLBREAKER_DAMAGE","Стенобои наносят огромный урон стенам, но при этом сами подрываются."
"TID_HINT_WALLBREAKER_TARGET","Стенобои пробивают дыры в стенах, открывая путь к зданиям врага."
"TID_HINT_WARLOCK_INFO_1","Основная атака ведьмы не очень действенна, зато призванные ею скелеты могут отвлечь на себя защитников."
"TID_HINT_WARLOCK_INFO_2","Ведьма окажется почти беззащитна, если все ее скелеты будут уничтожены."
"TID_HINT_WARMACHINE1","Восстановите боевую машину, чтобы использовать ее в атаке."
"TID_HINT_WARMACHINE2","Электрический молоток на боевой машине можно использовать снова после перезарядки."
"TID_HINT_WELCOME","Давным-давно на полянке в волшебном лесу..."
"TID_HINT_WIZARD_INFO","Колдуны могут нанести большой урон, но едва ли смогут устоять против ответного удара."
"TID_HINT_WIZARD_TOWER_DAMAGE","Башня колдуна наносит урон всем целям в радиусе действия."
"TID_HINT_WIZARD_TOWER_TARGET","Башня колдуна стреляет как по наземным, так и по воздушным целям."
"TID_HINT_XBOW_AMMO","Арбалет преобразует эликсир в боеприпасы. Не забудьте перезарядить его после атаки!"
"TID_HINT_XBOW_LVL_8","Улучшение ратуши откроет доступ к новому защитному орудию — арбалету."
"TID_HINT_XBOW_TARGETS_1","Арбалет можно настроить для атаки наземных и воздушных целей на короткой дистанции."
"TID_HINT_XBOW_TARGETS_2","Арбалет можно настроить для атаки только наземных противников на большом расстоянии."
"TID_HINT_YETI","Йети не может перепрыгивать через стены, зато йетята могут."
"TID_HITPOINTS","Здоровье: <number>"
"TID_HITPOINT_INCREASE","Увеличение здоровья: <number>"
"TID_HOG_GLIDER","Всадник на дельтаплане"
"TID_HOG_GLIDER_ABILITY_HELP","При столкновении оглушает цель на <num> сек."
"TID_HOG_GLIDER_ABILITY_NAME","Парящая угроза"
"TID_HOG_RAIDERS","Кабаньи рейдеры"
"TID_HOG_RIDER","Всадник на кабане"
"TID_HOG_WIZARD_ABILITY_HELP","Он так горяч, что обжигает находящихся рядом врагов!"
"TID_HOG_WIZARD_ABILITY_NAME","Пламенный всадник"
"TID_HOLIDAY_PACK","Праздничный набор"
"TID_HOME","Домой"
"TID_HOUSE_PART_UNLOCKED","Открыт элемент кланового дома!"
"TID_HOUSING2_INFO","Ваши войска расположились в военных лагерях. В каждом лагере одновременно может находиться только один тип войск. Некоторые войска можно улучшить, чтобы в лагере их помещалось больше!"
"TID_HOUSING_INFO","Ваши войска размещаются в военных лагерях. Постройте больше лагерей, чтобы создать могучую армию."
"TID_HOUSING_SIEGE_MACHINES_INSIDE","Осадные машины:"
"TID_HOUSING_TROOPS_INSIDE","Всего войск:"
"TID_HOUSING_VILLAGE2","Кол-во в лагере:"
"TID_HUD_ATTACKER","Атакующий"
"TID_HUD_DEFENDER","Защитник"
"TID_HULK_BIG","Злой Халк"
"TID_HULK_SMALL","Халк"
"TID_IAP_INFO_TEXT","청약철회는 구매일로부터 7일 이내 가능(단, 사용시 철회불가) 법정대리인 동의 없는 미성년자명의 결제 시 취소가능"
"TID_IAP_NOT_AVAILABLE","Пожалуйста, разрешите встроенные покупки в настройках устройства."
"TID_IAP_NOT_AVAILABLE_AMAZON","Невозможно совершить покупку! Убедитесь, что используете действующую учетную запись Amazon и ваш основной метод оплаты актуален."
"TID_IAP_NOT_AVAILABLE_ANDROID","Невозможно совершить покупку! Убедитесь, что используете действующую учетную запись Google и ваш основной метод оплаты верен."
"TID_IAP_NOT_AVAILABLE_CAFE_BAZAAR","Покупки недоступны! Проверьте, установлено ли на вашем устройстве приложение Cafe Bazaar."
"TID_IAP_NOT_AVAILABLE_OLD_GOOGLE_PLAY","Невозможно совершить покупку! Необходимо обновить приложение Google Play."
"TID_IAP_TRANSACTION_PENDING","Пожалуйста, подождите. Производится транзакция."
"TID_ICEGOLEM","Ледяной голем"
"TID_ICE_HOUND","Ледяная гончая"
"TID_ICE_HOUND_ABILITY_INFO","Атака ледяной гончей замедляет цель. Пав в бою, ледяная гончая замораживает все вокруг себя."
"TID_ICE_HOUND_ABILITY_NAME","Подавать холодным"
"TID_ICE_HOUND_INFO","Ледяная гончая наконец-то избавилась от проблем с пищеварением, вызванных лавой, и готова заморозить все вокруг."
"TID_ICE_PUP","Ледяной щенок"
"TID_ICE_PUP_INFO","Ледяные щенки отличаются от обычных: их сердца холодны, а по венам течет жидкий лед. Их атака замедляет врагов!"
"TID_IF_LOST","Поражение:"
"TID_INCOMPLETE_CAPITAL_ARMY","Соберите столичную армию перед атакой."
"TID_INFERNO_DRAGON_ABILITY_HELP","Сила атаки пламенного дракона постепенно возрастает, пока он атакует одну и ту же цель."
"TID_INFERNO_DRAGON_ABILITY_NAME","Адский луч"
"TID_INFO","i"
"TID_INFOBUBBLE_BUILDER_EXTRA_SUGGESTION","Другие улучшения:"
"TID_INFOBUBBLE_BUILDER_INPROGRESS","Идет улучшение:"
"TID_INFOBUBBLE_BUILDER_NOT_INPROGRESS","Улучшения не ведутся."
"TID_INFOBUBBLE_BUILDER_SUGGESTION","Можно улучшить:"
"TID_INFO_ACTIVATION_TYPE","Активация:"
"TID_INFO_ACTIVATION_TYPE_HIT_BUILDING_IN_RANGE","Нанесение урона зданию в радиусе действия"
"TID_INFO_ACTIVATION_TYPE_UNIT_IN_RANGE","Появление цели в радиусе действия"
"TID_INFO_BALLOON_CARRIER","В корзине этого воздушного шара нет бомбы, зато она до краев забита костями! Скелетный десант высаживается рядом с врагом!"
"TID_INFO_BALLOON_CARRIER_SHORT","Инструкция по сборке экипажа прилагается."
"TID_INFO_DAMAGE_TYPE","Вид урона:"
"TID_INFO_DAMAGE_TYPE_AOE","Рассеянный"
"TID_INFO_DAMAGE_TYPE_MULTIPLE","Несколько целей"
"TID_INFO_DAMAGE_TYPE_SINGLE","Одиночная цель"
"TID_INFO_EFFECT_TYPE","Вид эффекта:"
"TID_INFO_FORGING_TIME","Время приготовления:"
"TID_INFO_HEAL_TYPE","Вид исцеления:"
"TID_INFO_HOUSING","Требуется мест:"
"TID_INFO_NO_TAG","Метки не выбраны"
"TID_INFO_POP_UP_IAP_NOTE","Clash of Clans — бесплатная игра, но вы можете ускорить ее прохождение, делая встроенные покупки. Отключить эту опцию можно, изменив настройки встроенных покупок. Также вам должно быть не менее 13 лет."
"TID_INFO_POP_UP_IAP_NOTE_ANDROID","Clash of Clans — бесплатная игра, но вы можете ускорить ее прохождение, делая встроенные покупки. Чтобы отключить эту возможность, установите пароль на покупки в настройках приложения Google Play. Также вам должно быть не менее 13 лет."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","ОК"
"TID_INFO_POP_UP_IAP_NOTE_KUNLUN","Clash of Clans — бесплатная игра, но вы можете ускорить ее прохождение, делая покупки в игре."
"TID_INFO_POP_UP_IAP_NOTE_TENCENT","Clash of Clans — бесплатная игра, но вы можете ускорить ее прохождение, делая покупки в игре."
"TID_INFO_POP_UP_IAP_NOTE_TITLE","Встроенные покупки"
"TID_INFO_POP_UP_TOS_PP_BUTTON1","OK"
"TID_INFO_POP_UP_TOS_PP_BUTTON2","Условия пользования"
"TID_INFO_POP_UP_TOS_PP_NOTE","ЭТО версия стороннего сервера сборки Classic Clash of Clans. Были предприняты усилия для его подготовки в соответствии с политикой Supercell в отношении фанатского контента. Коммерческие элементы в игре удалены или отключены (скины, фоны, торговец, предложения магазина, магазин, клановые игры и магические предметы). Это приложение не поддерживается Supercell и Supercell не несет за него ответственности."
"TID_INFO_POP_UP_TOS_PP_NOTE_AMAZON","ЭТО версия стороннего сервера сборки Classic Clash of Clans. Были предприняты усилия для его подготовки в соответствии с политикой Supercell в отношении фанатского контента. Коммерческие элементы в игре удалены или отключены (скины, фоны, торговец, предложения магазина, магазин, клановые игры и магические предметы). Это приложение не поддерживается Supercell и Supercell не несет за него ответственности."
"TID_INFO_POP_UP_TOS_PP_NOTE_ANDROID","ЭТО версия стороннего сервера сборки Classic Clash of Clans. Были предприняты усилия для его подготовки в соответствии с политикой Supercell в отношении фанатского контента. Коммерческие элементы в игре удалены или отключены (скины, фоны, торговец, предложения магазина, магазин, клановые игры и магические предметы). Это приложение не поддерживается Supercell и Supercell не несет за него ответственности."
"TID_INFO_POP_UP_TOS_PP_NOTE_KUNLUN","ЭТО версия стороннего сервера сборки Classic Clash of Clans. Были предприняты усилия для его подготовки в соответствии с политикой Supercell в отношении фанатского контента. Коммерческие элементы в игре удалены или отключены (скины, фоны, торговец, предложения магазина, магазин, клановые игры и магические предметы). Это приложение не поддерживается Supercell и Supercell не несет за него ответственности."
"TID_INFO_POP_UP_TOS_PP_NOTE_TENCENT","ЭТО версия стороннего сервера сборки Classic Clash of Clans. Были предприняты усилия для его подготовки в соответствии с политикой Supercell в отношении фанатского контента. Коммерческие элементы в игре удалены или отключены (скины, фоны, торговец, предложения магазина, магазин, клановые игры и магические предметы). Это приложение не поддерживается Supercell и Supercell не несет за него ответственности."
"TID_INFO_POP_UP_TOS_PP_TITLE","Важное уведомление"
"TID_INFO_PREFERRED_TARGET","Избранная цель:"
"TID_INFO_RANGE","Дальность:"
"TID_INFO_RANGE_VALUE","<number> клет."
"TID_INFO_SCREEN_PASS_TEASER","Золотой пропуск сэкономит вам до:"
"TID_INFO_SCREEN_TITLE","<object> <cffcc33><number>-го уровня</c>"
"TID_INFO_SCREEN_TITLE_UPGRADE","<object>: улучшить до <cffcc33><number>-го уровня?</c>"
"TID_INFO_SCREEN_TITLE_UPGRADING","<object>: улучшение до <cffcc33><number>-го уровня</c>"
"TID_INFO_SPELL_STORAGE","Хранилище заклинаний:"
"TID_INFO_TAGS","Добавьте метки в описание своего клана. Так вас будет легче найти игрокам, которые вам подходят!"
"TID_INFO_TAGS_PLAYER","Выберите до <max> меток, описывающих стиль вашей игры."
"TID_INFO_TAGS_SEARCH","Выберите до <max> меток, чтобы найти самые подходящие кланы."
"TID_INFO_TARGET_TYPE","Цели:"
"TID_INFO_TARGET_TYPE_AIR","Воздух"
"TID_INFO_TARGET_TYPE_BUILDINGS","Здания"
"TID_INFO_TARGET_TYPE_BUILDINGS_AND_WALLS","Стены и здания"
"TID_INFO_TARGET_TYPE_DEFENSES_AND_HEROES","Защитные сооружения и герои"
"TID_INFO_TARGET_TYPE_GROUND","Земля"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Земля и воздух"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Земля или воздух"
"TID_INFO_TARGET_TYPE_UNITS","Войска"
"TID_INFO_TEST_DUMMY","Неуязвимый болванчик"
"TID_INFO_THROWING_POSITION","Место применения:"
"TID_INFO_THROWING_POSITION_SELF","Башня заклинаний"
"TID_INFO_THROWING_POSITION_TARGET","Цель"
"TID_INFO_TRAINING_TIME","Время тренировки:"
"TID_INFO_UNIT_COUNT","<unit>: <number>"
"TID_INVALID_CAPITAL_ARMY","Обновите столичную армию перед атакой."
"TID_INVALID_DESCRIPTION","Описание не подходит! Пожалуйста, попробуйте другое."
"TID_INVALID_NAME","Имя не подходит! Пожалуйста, попробуйте другое."
"TID_INVALID_PLACEMENT","Вы не можете развернуть войска в красной зоне!"
"TID_INVALID_PLACEMENT_CAPITAL","Разместите войска в белой области!"
"TID_INVALID_PLAY_INSTALL","Игра Clash of Clans установлена некорректно. Для устранения проблемы установите игру из Google Play Маркет."
"TID_INVALID_WAR_MEMBERS_COUNT","Выбрано соклановцев: <num>"
"TID_INVALID_WAR_MEMBERS_INFO_HIGH","Максимум соклановцев: <value>"
"TID_INVALID_WAR_MEMBERS_INFO_LOW","Минимум соклановцев: <value>"
"TID_INVALID_WAR_MEMBERS_INFO_MID","Соклановцев должно быть <low> или <high>"
"TID_INVISIBILITY_SECONDS","Невидимость (с.)"
"TID_INVISIBILITY_SPELL","Заклинание невидимости"
"TID_INVISIBILITY_SPELL_INFO","Заклинание невидимости делает невидимым и недоступным для атак ВСЕ в радиусе своего действия, кроме стен и осадных машин."
"TID_INVISIBILITY_SPELL_TOWER","Заклинание невидимости для башни"
"TID_INVISIBILITY_TOWER_SHORT","Невидимость"
"TID_INVITATIONS_FULL","Список приглашений полон!"
"TID_INVITE_BUTTON","Пригласить"
"TID_INVITE_FRIEND_CONFIRMATION","Отправить предложение дружить в Clash игроку <name>?"
"TID_INVITE_FRIEND_CONFIRMATION_TITLE","Добавить друга?"
"TID_IN_PROGRESS","В процессе"
"TID_IRONFIST_GIANT","Гигант-боксер"
"TID_ITEMS_LEFT","Осталось: <number>"
"TID_ITEM_ALREADY_DONATED","У вас уже есть это подкрепление."
"TID_ITEM_BROKEN","<item> (разрушено)"
"TID_ITEM_LEVEL","<item> (ур. <number>)"
"TID_ITEM_LOCKED","<item> (заблокировано)"
"TID_JOINALLIANCEQUESTION","Принять приглашение в клан?"
"TID_JOINCLAN_HUB_TEXT","<cffcc33>Вступите в клан</c> и играйте в компании, чтобы было веселее!"
"TID_JOINQUESTION","Хотите вступить?"
"TID_JOIN_ALLIANCE_TAB","Вступить в клан"
"TID_JOIN_CLAN_INFO_CAPITAL","Стройте и сражайтесь вместе в столице клана!"
"TID_JOIN_CLAN_INFO_CHAT","Общайтесь с соклановцами!"
"TID_JOIN_CLAN_INFO_DONATE","Бесплатные пожертвования для армии!"
"TID_JOIN_CLAN_INFO_FEATURES","Войны кланов, Игры кланов и прочее!"
"TID_JOIN_CLAN_INFO_TOGETHER","Играйте вместе и получайте больше добычи!"
"TID_JOIN_CLAN_TITLE","Вступайте в клан"
"TID_JOIN_NEW_CLAN_WHILE_IN_CLAN_TEXT","Если вы вступите в новый клан, то покинете текущий. Вы точно хотите продолжить?"
"TID_JOIN_NEW_CLAN_WHILE_IN_CLAN_TITLE","Выход из клана"
"TID_JOIN_NOW_BUTTON","Вступить"
"TID_JOURNEY_FEATURE_LABORATORY","Повышает уровень воинов и делает армию еще сильнее!"
"TID_JUMP_SPELL","Заклинание прыжка"
"TID_JUMP_SPELL_INFO","Мешают стены? Попробуйте срезать путь!\n\nНаложите заклинание на вражескую стену, чтобы создать путь прямо над ней. Ваши воины будут перепрыгивать через зачарованный участок стены, словно его нет!"
"TID_JUST_NOW","Только что"
"TID_KEYBOARD_CONTROL_ACTIVATE_SPELL","Активировать <num>-е заклинание"
"TID_KEYBOARD_CONTROL_GROUP_TITLE_CLAN_CASTLE","Управление крепостью клана"
"TID_KEYBOARD_CONTROL_GROUP_TITLE_HEROES","Управление героями"
"TID_KEYBOARD_CONTROL_GROUP_TITLE_REINFORCEMENTS","Управление подкреплением"
"TID_KEYBOARD_CONTROL_GROUP_TITLE_SIEGE_MACHINES","Управление осадными машинами"
"TID_KEYBOARD_CONTROL_GROUP_TITLE_SPELLS","Управление заклинаниями"
"TID_KEYBOARD_CONTROL_GROUP_TITLE_TROOPS","Управление войсками"
"TID_KEYBOARD_CONTROL_SELECT_CLAN_CASTLE","Выбрать крепость клана"
"TID_KEYBOARD_CONTROL_SELECT_HERO","Выбрать <num>-го героя"
"TID_KEYBOARD_CONTROL_SELECT_REINFORCEMENTS","Выбрать подкрепление"
"TID_KEYBOARD_CONTROL_SELECT_SIEGE_MACHINE","Выбрать осадную машину"
"TID_KEYBOARD_CONTROL_SELECT_TROOP","Выбрать <num>-го воина"
"TID_KICKED_FROM_ALLIANCE","Вы изгнаны из клана: «<msg>»"
"TID_KICKED_FROM_ALLIANCE_NO_MSG","Вас исключили из клана."
"TID_KICK_DEFAULT_MESSAGE","Простите, но мы решили изгнать вас из клана."
"TID_KICK_FAIL_CAPITAL","В столице нельзя изгонять игроков."
"TID_KICK_FAIL_VISITING","Вы не можете изгнать игроков, пока вы в гостях."
"TID_KICK_MESSAGE_TITLE","Изгнать игрока <name>?"
"TID_KICK_OUT_FROM_ALLIANCE","Изгнать"
"TID_KNOCKBACK","Отбрасывает на <number> клет."
"TID_KUNLUN_APP_STORE_360","360"
"TID_KUNLUN_APP_STORE_ANZHI","Anzhi"
"TID_KUNLUN_APP_STORE_BAIDU","Baidu"
"TID_KUNLUN_APP_STORE_HUAWEI","Huawei"
"TID_KUNLUN_APP_STORE_LANDING_PAGE","Kunlun Landing Page"
"TID_KUNLUN_APP_STORE_LENOVO","Lenovo"
"TID_KUNLUN_APP_STORE_OPPO","Oppo"
"TID_KUNLUN_APP_STORE_UC","UC"
"TID_KUNLUN_APP_STORE_VIVO","Vivo"
"TID_KUNLUN_APP_STORE_WANDOUJIA","Wandoujia"
"TID_KUNLUN_APP_STORE_XIAOMI","Xiaomi"
"TID_LABORATORY_GOBLIN_HINT","Я могу начать для тебя второе улучшение!"
"TID_LABORATORY_HINT","Выбери, что ты хочешь улучшить."
"TID_LABORATORY_HINT2","Проведите по экрану, чтобы увидеть все доступные улучшения."
"TID_LABORATORY_HUB_TEXT","Воспользуйтесь <cffcc33>ускорением исследований</c>!"
"TID_LABORATORY_INFO","Какие темные тайны скрыты за дверями лаборатории? Пока ни у кого не хватило смелости проверить. Мы лишь знаем, что исследования обосновавшихся там колдунов помогают сделать наши заклинания и воинов выносливее, сильнее и быстрее!"
"TID_LABORATORY_UPGRADING","Улучшение:"
"TID_LABORATORY_UPGRADING_CANNOT_START_SPELL","Нельзя начать улучшение заклинания, пока идет улучшение лаборатории."
"TID_LABORATORY_UPGRADING_CANNOT_START_UNIT","Нельзя начать улучшение воина, пока идет улучшение лаборатории."
"TID_LAKE_CORNER","Озеро (угол)"
"TID_LAKE_CURVE","Озеро (поворот)"
"TID_LAKE_STRAIGHT1","Озеро (прямо)"
"TID_LANGUAGE_LOCALIZED_NAME","Русский"
"TID_LANGUAGE_OTHER","Другой"
"TID_LAST_ONLINE_MULTIPLE_DAYS_AGO","В игре <num> дн. назад"
"TID_LAST_ONLINE_MULTIPLE_WEEKS_AGO","В игре <num> нед. назад"
"TID_LAST_ONLINE_ONE_DAY_AGO","В игре день назад"
"TID_LAST_ONLINE_ONE_WEEK_AGO","В игре неделю назад"
"TID_LAST_ONLINE_OVER_MONTH_AGO","В игре более месяца назад"
"TID_LAST_ONLINE_OVER_WEEK_AGO","В игре более недели назад"
"TID_LAST_ONLINE_WITHIN_24H","В игре недавно"
"TID_LAST_WAR","Последняя война:"
"TID_LAVALOON_ABILITY_HELP","Когда бомбы взрываются, из них появляются лавашарики."
"TID_LAVALOON_ABILITY_NAME","Бум и бам"
"TID_LAVA_LAUNCHER_INFO","Стреляет кусками лавы, которые летят на большое расстояние и поджигают землю. Вражеским наземным войскам будет жарко!"
"TID_LAYOUTS_ACTIVE_BASE","Выбранная деревня"
"TID_LAYOUTS_ACTIVE_LAYOUT","Активная планировка"
"TID_LAYOUTS_ACTIVE_VILLAGE","Выбранная деревня"
"TID_LAYOUTS_ACTIVE_WAR_BASE","Выбранная база"
"TID_LAYOUTS_ALREADY_ACTIVE","Планировка используется"
"TID_LAYOUTS_ALREADY_DEFENSIVE","Эта планировка уже выбрана в качестве оборонной."
"TID_LAYOUTS_CANT_COPY_EMPTY","Невозможно скопировать пустую планировку"
"TID_LAYOUTS_CANT_REPLACE_ACTIVE","Не удалось заменить активную планировку"
"TID_LAYOUTS_COPY_BUTTON","Копировать планировку"
"TID_LAYOUTS_COPY_EXPLANATION","Выберите ячейку дома или войны, чтобы скопировать выбранную планировку."
"TID_LAYOUTS_COPY_EXPLANATION_V2","Выберите ячейку, чтобы скопировать выбранную планировку."
"TID_LAYOUTS_COPY_LABEL","Копировать планировку"
"TID_LAYOUTS_DEFENSIVE_LAYOUT","Оборонная планировка"
"TID_LAYOUTS_EDIT_BUTTON","Изменить планировку"
"TID_LAYOUTS_EMPTY_SLOT","Пусто"
"TID_LAYOUTS_EXPLANATION",
"TID_LAYOUTS_INCOMPLETE","Сначала нужно закончить планировку"
"TID_LAYOUTS_INVALID","Ошибка при сохранении планировки"
"TID_LAYOUTS_LAST_USED","Последняя использованная"
"TID_LAYOUTS_OBSTRUCTED","Сначала нужно убрать кое-какие препятствия"
"TID_LAYOUTS_REBUILD_CLAN_CASTLE","Сначала нужно восстановить крепость клана"
"TID_LAYOUTS_SET_DEFENSE_BUTTON","Сделать оборонной"
"TID_LAYOUTS_UNPLACED_BUILDINGS_OR_TRAPS","Сначала расставьте неразмещенные ловушки и сооружения."
"TID_LAYOUTS_USE_BUTTON","Выбрать"
"TID_LAYOUTS_VILLAGE","Родная деревня"
"TID_LAYOUTS_VILLAGE2","Деревня строителя"
"TID_LAYOUTS_WARBASE","Военная база"
"TID_LAYOUTS_WARBASE_INFO","Внимание: изменив активную военную базу в день сражения, вы увидите изменения лишь в след. войне."
"TID_LAYOUT_CHANGED_ERROR","Эта планировка недавно менялась. Ее можно будет использовать снова через <time>."
"TID_LAYOUT_EDITOR","Редактор планировки"
"TID_LAYOUT_EDITOR_UNAVAILABLE","Редактор планировки недоступен в течение <time>"
"TID_LAYOUT_LINK_COPIED_TO_CLIPBOARD","Ссылка на планировку скопирована в буфер обмена устройства."
"TID_LAYOUT_SLOT_UNLOCK","Купить дополнительные ячейки планировки за кристаллы"
"TID_LEADERBOARDBANNER_1","1)"
"TID_LEADERBOARDBANNER_2","2)"
"TID_LEADERBOARDBANNER_3","3)"
"TID_LEADERBOARDBANNER_CLANTOURNAMENTS","Турнир кланов"
"TID_LEADERBOARDBANNER_PLAYERTOURNAMENTS","Турнир Легендарной лиги"
"TID_LEADERBOARDBANNER_PLAYERTOURNAMENTS_V2","Турнирные бои в деревне строителя"
"TID_LEADERBOARDBANNER_PLAYER_HISTORY_INFO","После каждого турнира рейтинг игроков с достаточным количеством трофеев обнуляется. Потерянные трофеи даруются навсегда как легендарные."
"TID_LEADERBOARDBANNER_PLAYER_HISTORY_TITLE","Легенды последнего турнира:"
"TID_LEADERBOARDBANNER_PLAYER_NO_HISTORY","Ни один игрок Легендарной лиги не занял место в прошлом турнире."
"TID_LEADERBOARDBANNER_PLAYER_NO_TOP_3","Здесь будут показаны победители турнира Легендарной лиги!"
"TID_LEADERBOARDBANNER_PLAYER_NO_TOP_3_V2","Здесь будут показаны победители турнирных боев в деревне строителя!"
"TID_LEADERBOARDBANNER_PLAYER_REWARD","Лучшие игроки последнего турнира:\n(коснитесь, чтобы узнать)"
"TID_LEADERBOARDBANNER_PLAYER_TIMELEFT","Осталось"
"TID_LEADERBOARDBANNER_REWARD","Лучшие 3 клана получат: (награда будет честно распределена между 20 лучшими игроками клана)"
"TID_LEADERBOARDBANNER_TIMELEFT","Осталось"
"TID_LEADER_CANNOT_LEAVE_ALLIANCE","Вам нужно назначить другого главу клана, прежде чем покинуть свой клан."
