"TID","PT"
"TID_HERO_ABILITY_SUMMONED_UNITS_DPS","DPS das unidades convocadas: <number>"
"TID_HERO_ABILITY_SUMMONED_UNITS_HEALTH","Saúde das unidades convocadas: <number>"
"TID_HERO_ABILITY_SUMMONED_UNITS_LEVEL","Nível das unidades convocadas: <number>"
"TID_HERO_ABILITY_TIME","Duração da habilidade (segundos): <number>"
"TID_HERO_ABILITY_UNLOCK_PROMPT_FEMALE","Melhore sua heroína para o nível <number> para desbloquear esta habilidade!"
"TID_HERO_ABILITY_UNLOCK_PROMPT_MALE","Melhore seu herói para o nível <number> para desbloquear esta habilidade!"
"TID_HERO_ABILITY_UNUSABLE_IN_RECALL","Para usar a habilidade, mobilize o herói que você chamou de volta."
"TID_HERO_ABILITY_UPGRADE_PROMPT_FEMALE","Melhore sua heroína para o nível <number> para aprimorar sua habilidade!"
"TID_HERO_ABILITY_UPGRADE_PROMPT_MALE","Melhore seu herói para o nível <number> para aprimorar sua habilidade!"
"TID_HERO_ABILITY_USED","Você já usou a habilidade!"
"TID_HERO_ABILITY_WARDEN_DESC","O Guardião libera o poder total do seu tomo mágico, fazendo com que ele mesmo e todas as unidades aliadas próximas fiquem totalmente imunes a dano por um período de tempo curto!"
"TID_HERO_ABILITY_WARDEN_TITLE","Tomo eterno"
"TID_HERO_ABILITY_WARMACHINE_DESC","A Máquina de Batalha conjura um raio energizante que recupera pontos de vida e aumenta o dano causado nos ataques seguintes. Carregue mais o martelo para recuperar ainda mais saúde e causar mais dano. Nos níveis mais altos, o raio atinge vários alvos!"
"TID_HERO_ABILITY_WARMACHINE_TITLE","Martelo elétrico"
"TID_HERO_AURA_WARDEN_DESC","O cajado do Guardião irradia uma aura de recuperação de vida que melhora a cada nível. Todas as unidades aliadas próximas, em ataque ou defesa, ganharão mais pontos de vida, mas perderão a vantagem caso se afastem demais!"
"TID_HERO_AURA_WARDEN_TITLE","Aura de vida"
"TID_HERO_BATTLE_COPTER","Helicóptero de Combate"
"TID_HERO_BOOST","Aceleração de herói"
"TID_HERO_BOOST_INFO","Melhora todos os seus heróis até o nível máximo permitido por seu centro da vila."
"TID_HERO_GEAR_RESOURCES_TITLE","Recursos de equipamentos:"
"TID_HERO_GEAR_RESOURCE_REWARD_INFO","Bônus de estrela também dá recursos de equipamentos!"
"TID_HERO_GEAR_UNLOCKED","<gear> disponível!"
"TID_HERO_GEAR_UPGRADED","Melhoria concluída: <item> nível <level>!"
"TID_HERO_HEAL","Cura para heróis: <number>"
"TID_HERO_INFO_BATTLE_COPTER","Cansado de perfurar muros a marteladas, o Mestre Construtor usa sua nova máquina voadora para passar por cima deles facilmente. O Helicóptero de Combate pode atacar de longe com seus poderosos canhões ou de perto com a habilidade Investida Explosiva."
"TID_HERO_INFO_BATTLE_COPTER_SHORT","É claro que não podia faltar um helicóptero para explorar o subsolo."
"TID_HERO_INSTRUCTIONS","Esta caçadora graciosa é mestre em força destrutiva, embora tenha pouca energia. Ela atira nos alvos que entram em seu território ao defender, pode evocar furtividade e causar dano terrível ao atacar, depois do desbloqueio da habilidade do manto real!"
"TID_HERO_INSTRUCTIONS_BARBARIAN","O maior e mais corajoso dos Bárbaros, esta ameaça colossal absorve enormes quantidades de dano e acaba com tudo no caminho usando sua espada. Ele guarda o seu território ferozmente ao defendê-lo."
"TID_HERO_INSTRUCTIONS_QUEEN","Reinando todas as Arqueiras, esta caçadora graciosa é mestre em força destrutiva, embora tenha pouca energia. Ela atira nos alvos com uma besta poderosa e tem sede de vingança contra qualquer um que ouse entrar em seu território."
"TID_HERO_INSTRUCTIONS_ROYAL_CHAMPION","Por cima do muro e para cima deles! A Campeã Real só tem medo de quatro coisas, e o inimigo não é uma delas. O curto alcance de sua lança é perfeito para perfurar as defesas bem de perto."
"TID_HERO_INSTRUCTIONS_WARDEN","O Grande Guardião é um mestre da magia que dá apoio às tropas no ataque com rajadas de seu cajado mágico. Ele consegue andar por cima dos muros ou voar ao lado de tropas aéreas para ajudar o exército no ataque. Na defesa, ele assume a forma de uma torre poderosa."
"TID_HERO_INSTRUCTIONS_WARMACHINE","A invenção do mestre construtor esmaga as construções inimigas. Não tem forma melhor de mostrar quem é o melhor construtor do mundo. Desbloqueie a habilidade do martelo elétrico para dar aos oponentes um belo golpe."
"TID_HERO_RECHARGE_TIME","Tempo de recarga: <number> segundos"
"TID_HERO_ROYAL_CHAMPION","Campeã Real"
"TID_HERO_ROYAL_CHAMPION_INFO","A Campeã Real é uma veterana calejada de muitas batalhas, armada com reflexos e pensamentos rápidos. Ou seja, ela ataca antes de pensar e se mete em encrenca."
"TID_HERO_SLEEPING","Proteger"
"TID_HERO_STATS","Acelerações de herói"
"TID_HINT HEROES_DIE","Heróis são imortais, mas podem ser feridos e devem ser curados antes que possam lutar novamente."
"TID_HINT HEROES_REGENERATE","Cure seu herói deixando-o dormir ou usando o botão Curar."
"TID_HINT HEROES_USE","O herói pode atacar as vilas inimigas ou proteger sua vila contra os ataques inimigos."
"TID_HINT HERO_ARCHER_QUEEN","A Rainha Arqueira é uma guerreira com olhos de águia que carrega uma X-Besta em miniatura personalizada."
"TID_HINT HERO_BARBARIAN_KING","O Rei Bárbaro é o mais forte de todos. Seu consumo de elixir negro o tornou maior que os Gigantes."
"TID_HINT LEAGUE_DEMOTION","Se perder muitos troféus, você poderá ser rebaixado de liga. Defenda seus troféus!"
"TID_HINT LEAGUE_PLACEMENT","Se você tiver troféus suficientes, entrará automaticamente para uma liga ao atacar qualquer vila."
"TID_HINT LEAGUE_PROMOTION","Ganhe mais troféus e avance de liga. As ligas mais avançadas concedem melhores bônus!"
"TID_HINT LEAGUE_SHUFFLING","Cada temporada da liga dura um mês."
"TID_HINT LOOT_BONUS","Quer mais saque? Entre numa liga e ganhe bônus da liga por cada ataque vitorioso!"
"TID_HINT TOURNAMENT","O torneio de clãs e a doação de tropas são reiniciados mensalmente."
"TID_HINT_ACCOUNT_SECURITY_1","Nunca forneça suas credenciais do Supercell ID a ninguém."
"TID_HINT_ACCOUNT_SECURITY_2","Os funcionários da Supercell nunca pedirão suas informações do Supercell ID."
"TID_HINT_ACHIEVEMENT_GEMS","Conclua conquistas para ganhar gemas!"
"TID_HINT_AIRGROUND_MINES","As minas e megaminas podem ser usadas para danificar tropas terrestres e aéreas."
"TID_HINT_AIR_DEFENSE_TARGET","Foguetes de defesa aérea só funcionam contra unidades de voo."
"TID_HINT_AIR_MINE_MINION","Minas aéreas guiadas não detectam Servos."
"TID_HINT_ARCHER_TARGET","Arqueiras acertam o que estiver a seu alcance."
"TID_HINT_ARCHER_TOWER2","Abaixe uma Torre Arqueira para aumentar seu poder de deter tropas com um alcance menor."
"TID_HINT_ARCHER_TOWER_TARGET","As Torres Arqueiras atingem unidades aéreas e terrestres."
"TID_HINT_ARTILLERY","Uma pequena esquadra de tropas pode ajudar a preparar um ataque antes de a artilharia águia ser ativada."
"TID_HINT_ARTILLERY2","Um ataque rápido pode esmagar a artilharia águia antes que cause muitos danos."
"TID_HINT_ARTILLERY3","A artilharia águia tem uma grande zona livre de fogo à sua volta. Fique de olho para que ela cubra as suas construções mais importantes!"
"TID_HINT_ARTILLERY_TARGET","A artilharia águia ataca as tropas mais resistentes do grupo maior ou mais próximo."
"TID_HINT_ARTILLERY_TARGET2","Um retículo aparece onde os tiros da artilharia águia serão lançados."
"TID_HINT_ARTILLERY_TARGET3","As unidades perto do impacto da artilharia sofrerão pequenos danos da onda de choque."
"TID_HINT_BALLOON_AIR","O Balão é uma unidade de voo. Por isso, canhões e morteiros não podem atingi-lo."
"TID_HINT_BALLOON_TARGET","Os Balões atacam principalmente as defesas inimigas, como os canhões."
"TID_HINT_BARBARIAN_TARGET","Os Bárbaros tendem a atacar o alvo mais perto, independentemente do tipo de construção."
"TID_HINT_BATTLE_ENDS","A batalha termina quando você gasta todas as tropas, os reforços de clã e os feitiços de dano."
"TID_HINT_BATTLE_LOG","O registro de batalhas mostra dados sobre os ataques à sua vila."
"TID_HINT_BOOST_RESOURCES","Você pode acelerar a velocidade de produção de minas de ouro e coletores de elixir com gemas depois de melhorá-los para o nível 5."
"TID_HINT_BOOST_SPELLS","Você pode acelerar a velocidade de produção da fábrica de feitiços usando gemas."
"TID_HINT_BOOST_TRAINING","Você pode acelerar a velocidade de treinamento dos quartéis usando gemas."
"TID_HINT_BUY_TROOP_HOUSING","Melhore os acampamentos e forme um grande exército!"
"TID_HINT_CAMP","As tropas nos acampamentos servem só para ataque e não defenderão a vila."
"TID_HINT_CANNON_TARGET","Canhões só atiram em unidades terrestres."
"TID_HINT_CANNON_UPGRADE_NOT_FUNCTIONING","Estruturas defensivas como canhões não podem atirar enquanto são melhoradas."
"TID_HINT_CHAT_REPORT","Caso veja uma mensagem ofensiva no bate-papo, toque nela e selecione \qDenunciar\q para denunciar o jogador."
"TID_HINT_CHAT_REPORT_LIMIT","Use a função \qDenunciar\q do bate-papo somente quando necessário. Não abuse!"
"TID_HINT_CLAN_CASTLE","As tropas no Castelo do Clã defenderão a vila."
"TID_HINT_CLAN_CHAT_PROFANITY_FILTER","Você pode ativar o filtro de profanidades para o bate-papo do clã no menu Configurações."
"TID_HINT_CLAN_GAMES","Inscreva seu clã nos jogos para concluir desafios e ganhar prêmios irados com seus colegas de clã."
"TID_HINT_CLAN_REINFORCEMENTS","Use o Castelo do Clã para pedir reforços aos membros do clã!"
"TID_HINT_CLAN_TROOP_DEPLOY","Você pode usar as tropas de reforço do Castelo do Clã para defender a vila de um ataque inimigo ou mobilizá-las ao atacar."
"TID_HINT_CLAN_WAR","Entre nas Guerras de Clãs: participe de batalhas incríveis e consiga saques extras!"
"TID_HINT_CLAN_WAR_LEAGUES_1","Você leva as Guerra de Clãs a sério? Inscreva seu clã nas Ligas das Guerras de Clãs para saber se vocês mandam bem mesmo."
"TID_HINT_CLOCK_TOWER","Acelere construções, produções de recursos e tudo o que quiser com a torre de relógios."
"TID_HINT_CRUSHER","O esmagador acaba com as tropas terrestres, mas tropas aéreas ou de longo alcance o destroem facilmente."
"TID_HINT_DARK_ELIXIR_BUILDINGS","O elixir negro pode ser armazenado e produzido a partir do nível 7 do Centro da Vila, assim como as tropas de elixir negro!"
"TID_HINT_DARK_ELIXIR_LOOT","Você poderá começar a saquear elixir negro assim que construir um depósito."
"TID_HINT_DARK_ELIXIR_USAGE","Você pode usar o elixir negro para convocar os heróis mais poderosos do reino!"
"TID_HINT_DARK_SPELLS","Os feitiços sombrios podem ocupar menos espaço de armazenamento do que feitiços normais, permitindo que você leve mais deles!"
"TID_HINT_DEFENSE","Construir boas defesas é tão essencial quanto o ataque agressivo."
"TID_HINT_DPS","A estatística de dano nas informações de unidades e defesas é indicada em dano por segundo."
"TID_HINT_DRAGON_AIR","O Dragão é uma unidade de voo poderosa que pode atacar alvos terrestres e aéreos."
"TID_HINT_END_BATTLE","Você pode terminar uma batalha e sair com a vitória ao ganhar pelo menos uma estrela nela."
"TID_HINT_ENEMY_TOWN_HALL","A destruição de um Centro da Vila inimigo sempre rende uma estrela."
"TID_HINT_FORUMS","Participe dos fóruns de Clash of Clans! Procure em Configurações - Mais."
"TID_HINT_GEAR_UP","Procure uma opção de aprimoramento em sua vila para aplicar as melhorias especiais do mestre construtor."
"TID_HINT_GEM_MINE","Reconstrua a mina de gemas e colete mais gemas."
"TID_HINT_GIANT_DEPLOY","Gigantes podem causar muito dano. Mobilize-os primeiro para atrair a atenção dos defensores."
"TID_HINT_GIANT_TARGET","Gigantes preferem atacar estruturas defensivas, como canhões."
"TID_HINT_GOBLIN_DAMAGE","Goblins causam o dobro de dano às construções de recursos."
"TID_HINT_GOBLIN_TARGET","Goblins são ávidos por ouro e elixir. Seus alvos favoritos são construções de recursos."
"TID_HINT_GUARD","Com uma guarda ativa, você fica protegido de ataques, além de poder atacar os outros livremente!"
"TID_HINT_GUARD_GAIN","Você ganha algumas guardas sempre que o escudo se esgota. Essa é uma ótima hora para atacar!"
"TID_HINT_GUARD_GAIN_TIME","Quanto mais alta a sua liga, mais guardas você ganha quando o escudo se esgotar!"
"TID_HINT_GUARD_LOSE","Você pode atacar o quanto quiser, sem perder nada da sua guarda ativa."
"TID_HINT_HEALER_AIR","A Curadora é uma unidade de voo. Defesas aéreas e Torres Arqueiras podem abatê-la rapidamente."
"TID_HINT_HEALER_INFO","As Curadoras curam unidades terrestres, mas não atacam inimigos."
"TID_HINT_HEROES_ABILITIES","Os heróis têm habilidades especiais melhoráveis que são desbloqueadas no nível 5 e que podem ser usadas no ataque."
"TID_HINT_HERO_GRAND_WARDEN","O Grande Guardião aproveita o poder de artefatos misteriosos para deixar as tropas próximas fortes como aço."
"TID_HINT_HERO_GRAND_WARDEN_MODE","Está usando um exército aéreo? Ative o modo aéreo do Grande Guardião!"
"TID_HINT_INFERNO_TOWER_AMMO","A Torre Inferno queima elixir negro para alimentar sua chama. Garanta o estoque!"
"TID_HINT_INFERNO_TOWER_TARGETS_1","A Torre Inferno pode causar dano devastador às unidades nas quais se concentra."
"TID_HINT_INFERNO_TOWER_TARGETS_2","A taxa de dano da Torre Inferno volta ao mínimo a cada troca de alvo."
"TID_HINT_LABORATORY","Você pode melhorar suas tropas no laboratório para torná-las mais fortes!"
"TID_HINT_LABORATORY_UPGRADES","Você não pode cancelar as melhorias no laboratório depois de iniciá-las. Planeje com antecedência!"
"TID_HINT_LEAGUE_SHOP","A Loja da Liga oferece algumas das melhores recompensas que existem, mas você vai precisar lutar nas ligas para ter acesso a elas."
"TID_HINT_LEAGUE_SHUFFLING2","Cada temporada da liga dura um mês."
"TID_HINT_LOOT_CART","Colete os recursos dos carrinhos de saque para recuperar parte do que perdeu durante o ataque."
"TID_HINT_MORTAR_DAMAGE","Morteiros danificam todas as unidades terrestres perto do local atingido."
"TID_HINT_MORTAR_TARGET","Morteiros só podem atacar alvos terrestres."
"TID_HINT_NAMECHANGE","Você não pode alterar o nome da vila. Os moradores não saberiam onde vivem!"
"TID_HINT_OBSTACLES","Remover obstáculos, como rochas e árvores, pode dar recompensas em gemas."
"TID_HINT_PEKKA_INFO","P.E.K.K.A é uma amazona? Samurai? Robô? Ninguém sabe!"
"TID_HINT_PEKKA_TRAP","A armadura da P.E.K.K.A é tão pesada que a armadilha de mola não tem nenhum efeito sobre ela."
"TID_HINT_PUSH_TRAP","Gire as armadilhas de empurrão para lançar as tropas na direção que quiser."
"TID_HINT_REBUILD_BOAT","Use o barco para visitar a base do construtor."
"TID_HINT_REBUILD_CLANCASTLE","Reconstrua o Castelo do Clã para unir forças com outros jogadores!"
"TID_HINT_REPLAY","Você pode ver replays das batalhas no registro de batalhas!"
"TID_HINT_RESOURCES_ARE_SAFE","Os inimigos não podem roubar os recursos da sua base do construtor."
"TID_HINT_RESOURCE_LOSSES","Mesmo que sua vila seja completamente destruída, sempre sobra um pouco de ouro e de elixir."
"TID_HINT_RESOURCE_UPGRADE_NOT_FUNCTIONING","Minas de ouro e coletores de elixir não geram recursos enquanto são melhorados."
"TID_HINT_REVENGE_OF_REVENGE","A vingança não fica disponível contra jogadores que você atacou primeiro."
"TID_HINT_ROYAL_CHAMPION","A Campeã Real consegue pular muros para atacar as defesas inimigas!"
"TID_HINT_SAFEGUARD_PROGRESS","Faça login com sua conta do Supercell ID para salvar seu progresso."
"TID_HINT_SCATTERSHOT","O Disseminador é craque em causar dano às tropas atrás do alvo original."
"TID_HINT_SHIELD","Vai dar um tempo no Clash of Clans? Compre um escudo para proteger seus troféus!"
"TID_HINT_SHIELD2","Um escudo ativo protege contra todos os ataques, mas atacar os outros reduzirá a sua duração."
"TID_HINT_SHIELD_GAIN","Você recebe um escudo gratuito quando um jogador destrói sua vila."
"TID_HINT_SHIELD_GAIN_TIME","Você recebe um escudo de maior duração quando sua vila é muito danificada."
"TID_HINT_SHIELD_LOSE","Se você atacar outro jogador enquanto tiver um escudo ativo, perderá algumas horas do escudo."
"TID_HINT_SHIELD_SINGLE_PLAYER","Você pode atacar a horda de Goblins (jogue missões no modo campanha) sem perder o escudo ativo."
"TID_HINT_SIEGE BARRACKS","O Quartel de Cerco é uma boa opção inicial de ataque, pois oferece cobertura ao seu exército!"
"TID_HINT_SINGLE_PLAYER_REWARDS","Precisa de mais ouro para uma melhoria? Roube-o dos Goblins em uma missão do modo campanha!"
"TID_HINT_SPELL_EARTHQUAKE1","Feitiços de Terremoto podem causar grandes danos a grupos de estruturas muito próximas com pontos de vida altos."
"TID_HINT_SPELL_EARTHQUAKE2","Feitiços de Terremoto repetidos causam menos danos a estruturas que já estão danificadas."
"TID_HINT_SPELL_FREEZE","O Feitiço de Gelo impede construções e tropas de se defenderem dentro de seu raio de ação."
"TID_HINT_SPELL_FREEZE_DURATION","Melhore o Feitiço de Gelo para desativar defesas e tropas por mais tempo."
"TID_HINT_SPELL_HEALING","O Feitiço de Cura cria um círculo que regenera as unidades dentro dele."
"TID_HINT_SPELL_JUMP","O Feitiço de Salto cria um caminho temporário sobre paredes inimigas para suas tropas percorrerem."
"TID_HINT_SPELL_JUMP_2","Tente usar o Feitiço de Salto para redirecionar tropas de corpo a corpo que estejam ocupadas atacando um muro!"
"TID_HINT_SPELL_JUMP_DURATION","Melhore o Feitiço de Salto e dê mais tempo às unidades para pular muros."
"TID_HINT_SPELL_LIGTHNING","O Feitiço de Relâmpago danifica unidades e construções em uma área reduzida."
"TID_HINT_SPELL_POISON_CLOUD1","Feitiços de Veneno são muito eficazes contra grandes grupos de Esqueletos inimigos."
"TID_HINT_SPELL_POISON_CLOUD2","Seu exército lutará de forma muito mais eficaz contra tropas do Castelo do Clã dentro de um Feitiço de Veneno."
"TID_HINT_SPELL_RAGE","O Feitiço de Fúria cria um círculo de fúria que torna as unidades dentro dele mais fortes e mais rápidas."
"TID_HINT_SPELL_SPEEDUP","Feitiços de Aceleração são ótimos em tropas lentas que causam danos severos, como os Balões ou a P.E.K.K.A."
"TID_HINT_STAR_BONUS","Vença várias batalhas por dia para ganhar um bônus de estrela."
"TID_HINT_STAR_BONUS_LEAGUE","Ganhe bônus de estrela melhores nas ligas mais avançadas."
"TID_HINT_STORAGES_SPELL_IMMUNITY","Os depósitos de recursos são imunes a danos causados por feitiços!"
"TID_HINT_SWAP_TROOPS","Quer mudar de estratégia antes de atacar? Toque nas setas verdes para alterar as tropas."
"TID_HINT_TESLA_HIDDEN","A tesla oculta fica escondida até que o adversário chegue perto o bastante."
"TID_HINT_TESLA_TARGET","A tesla oculta pode atacar unidades terrestres e aéreas."
"TID_HINT_TH12_MAX_LEVEL_WEAPON","Cuidado na hora de atacar um Centro da Vila nível 12 já melhorado. Ele explode quando é destruído."
"TID_HINT_TH12_WEAPON","Quando o Centro da Vila nível 12 toma dano, uma arma é ativada. Cuidado!"
"TID_HINT_TOXIC_MINION","Mobilize os Servos Beta longe de construções inimigas para aproveitar seus disparos de longo alcance."
"TID_HINT_TRADER","O comerciante na fronteira da sua vila tem produtos mágicos que mudam semanalmente. Fique de olho nos itens grátis!"
"TID_HINT_TRAPS_TARGET","Os adversários só conseguem ver as armadilhas ao chegarem perto o bastante."
"TID_HINT_TRAP_REPAIR","As armadilhas e bombas devem ser rearmadas depois de usadas."
"TID_HINT_TRAP_UPGRADING","Não se esqueça de melhorar suas armadilhas para manter os visitantes indesejados longe."
"TID_HINT_TREASURY","A Torre do Tesouro mantém o saque das Guerras de Clãs e do bônus de estrela protegido dentro do Castelo do Clã."
"TID_HINT_TROOP_ABILITIES","Desbloqueie e melhores as habilidades especiais de suas tropas no laboratório estelar."
"TID_HINT_TROPHY_COUNT","Os troféus ganhos serão deduzidos dos troféus de seus adversários!"
"TID_HINT_UNLOCKS","Melhore o Centro da Vila para desbloquear construções e novos níveis de melhoria para as construções atuais."
"TID_HINT_UPGRADE_CANNONS","Melhore seus canhões para aprimorar a defesa contra intrusos."
"TID_HINT_UPGRADE_MINES","Acabou o ouro? Melhore suas minas de ouro!"
"TID_HINT_UPGRADE_TROOPS","Aperfeiçoe seu exército! Construa o laboratório e melhore suas tropas."
"TID_HINT_UPGRADE_WALLS","Melhore seus muros para dificultar a vida do inimigo."
"TID_HINT_USABLE_WHILE_UPGRADING","Acampamentos, Castelos do Clã e depósitos permanecem funcionais enquanto são melhorados."
"TID_HINT_USE_SPELLS","Os feitiços têm um grande efeito sob o desfecho das batalhas. Não se esqueça de usá-los!"
"TID_HINT_VERSUS_BATTLE1","Ganhe mais estrelas para vencer uma batalha tática. A porcentagem de destruição é o que define o jogo."
"TID_HINT_VERSUS_BATTLE2","Ganhe mais troféus para aumentar suas recompensas nas batalhas táticas."
"TID_HINT_VERSUS_BATTLE3","Vença 3 batalhas táticas por dia para ganhar um grande bônus de saque."
"TID_HINT_VERSUS_BATTLE4","Está difícil vencer as batalhas táticas? Assista a replays para ver como melhorar sua defesa."
"TID_HINT_VILLAGE_EDIT_MODE","Reorganize sua vila de forma simples com o modo de edição da vila."
"TID_HINT_WALLBREAKER_DAMAGE","Os Destruidores de Muros causam grande dano aos muros do inimigo, mas explodem no processo."
"TID_HINT_WALLBREAKER_TARGET","Destruidores de Muros abrem buracos que permitem atacar construções inimigas."
"TID_HINT_WARLOCK_INFO_1","O ataque de projétil da Bruxa pode ser fraco, mas seus Esqueletos são capazes de distrair as defesas incansavelmente."
"TID_HINT_WARLOCK_INFO_2","A Bruxa é muito vulnerável quando todos os esqueletos são destruídos."
"TID_HINT_WARMACHINE1","Reconstrua a máquina de batalha para usar o poderoso herói em seus ataques."
"TID_HINT_WARMACHINE2","O martelo elétrico da máquina de batalha pode ser usado novamente após carregado."
"TID_HINT_WELCOME","Era uma vez uma clareira em uma floresta mágica..."
"TID_HINT_WIZARD_INFO","Os Magos podem causar grande dano, mas não podem receber muito em troca."
"TID_HINT_WIZARD_TOWER_DAMAGE","A Torre do Mago danifica todas as unidades na área alvo."
"TID_HINT_WIZARD_TOWER_TARGET","A Torre do Mago pode atingir unidades terrestres e aéreas."
"TID_HINT_XBOW_AMMO","A X-Besta usa elixir como munição. Lembre-se de recarregá-la após ataques inimigos!"
"TID_HINT_XBOW_LVL_8","Melhorar o Centro da Vila concederá a você acesso a uma nova arma defensiva: a X-Besta."
"TID_HINT_XBOW_TARGETS_1","Você pode configurar a X-Besta para atacar alvos aéreos e terrestres a curta distância."
"TID_HINT_XBOW_TARGETS_2","Você pode configurar a X-Besta para atacar somente alvos terrestres a longa distância."
"TID_HINT_YETI","Yetis não conseguem pular muros, mas Yetinhos sim!"
"TID_HITPOINTS","Pontos de vida: <number>"
"TID_HITPOINT_INCREASE","Aumento de pontos de vida: <number>"
"TID_HOG_GLIDER","Voador"
"TID_HOG_GLIDER_ABILITY_HELP","Atordoa o alvo durante <num> segundos ao acertar."
"TID_HOG_GLIDER_ABILITY_NAME","Asa-delta atordoante"
"TID_HOG_RAIDERS","Domadores"
"TID_HOG_RIDER","Corredor"
"TID_HOG_WIZARD_ABILITY_HELP","Tão abrasador que as tropas próximas sofrem dano!"
"TID_HOG_WIZARD_ABILITY_NAME","Corredor Incendiário"
"TID_HOLIDAY_PACK","Pacote de Fim de Ano"
"TID_HOME","Base"
"TID_HOUSE_PART_UNLOCKED","Parte da casa do clã desbloqueada!"
"TID_HOUSING2_INFO","Suas tropas ficam alojadas nos acampamentos. Cada um só pode abrigar um tipo de tropa por vez. Há tropas que podem ser melhoradas a fim de acomodar mais unidades delas por acampamento."
"TID_HOUSING_INFO","Suas tropas ficam alojadas nos acampamentos. Construa mais deles e melhore-os para reunir um exército poderoso."
"TID_HOUSING_SIEGE_MACHINES_INSIDE","Máquinas de cerco:"
"TID_HOUSING_TROOPS_INSIDE","Todas as tropas:"
"TID_HOUSING_VILLAGE2","Unidades por acampamento:"
"TID_HUD_ATTACKER","Atacante"
"TID_HUD_DEFENDER","Defensor"
"TID_HULK_BIG","Brutamonte Raivoso"
"TID_HULK_SMALL","Brutamonte"
"TID_IAP_INFO_TEXT","청약철회는 구매일로부터 7일 이내 가능(단, 사용시 철회불가) 법정대리인 동의 없는 미성년자명의 결제 시 취소가능"
"TID_IAP_NOT_AVAILABLE","Habilite as compras no aplicativo nas configurações de restrição do dispositivo."
"TID_IAP_NOT_AVAILABLE_AMAZON","As compras não estão disponíveis! Verifique se está usando uma conta da Amazon válida e se o método de pagamento primário está atualizado."
"TID_IAP_NOT_AVAILABLE_ANDROID","As compras não estão disponíveis! Certifique-se de que está usando uma conta do Google válida e de que o método de pagamento primário está atualizado."
"TID_IAP_NOT_AVAILABLE_CAFE_BAZAAR","Compras indisponíveis. Verifique se o app Cafe Bazaar está instalado em seu dispositivo."
"TID_IAP_NOT_AVAILABLE_OLD_GOOGLE_PLAY","Compras indisponíveis! Atualize o aplicativo Google Play Store."
"TID_IAP_TRANSACTION_PENDING","Aguarde. Transação pendente."
"TID_ICEGOLEM","Golem de Gelo"
"TID_ICE_HOUND","Cão de Gelo"
"TID_ICE_HOUND_ABILITY_INFO","Os ataques do Cão de Gelo desaceleram o alvo. Ao ser derrotado, o Cão de Gelo congela seus arredores."
"TID_ICE_HOUND_ABILITY_NAME","Abaixo de zero"
"TID_ICE_HOUND_INFO","O Cão de Gelo prefere uma dieta à base de alimentos congelados e, com isso, está sempre pronto para esfriar o ânimo dos adversários..."
"TID_ICE_PUP","Filhote de Gelo"
"TID_ICE_PUP_INFO","Ao contrário da maioria dos filhotes, esses têm coração de gelo... Cuidado para não entrar numa fria. Os ataques deles desaceleram inimigos!"
"TID_IF_LOST","Derrota:"
"TID_INCOMPLETE_CAPITAL_ARMY","Complete o exército da capital antes de atacar."
"TID_INFERNO_DRAGON_ABILITY_HELP","O ataque do Dragão Infernal fica mais forte com o passar do tempo, desde que esteja atacando o mesmo alvo."
"TID_INFERNO_DRAGON_ABILITY_NAME","Raio infernal"
"TID_INFERNO_TOWN_SCENERY","Paisagem infernal"
"TID_INFO","i"
"TID_INFOBUBBLE_BUILDER_EXTRA_SUGGESTION","Outras melhorias:"
"TID_INFOBUBBLE_BUILDER_INPROGRESS","Melhorias em andamento:"
"TID_INFOBUBBLE_BUILDER_NOT_INPROGRESS","Nenhuma melhoria em andamento."
"TID_INFOBUBBLE_BUILDER_SUGGESTION","Melhorias sugeridas:"
"TID_INFO_ACTIVATION_TYPE","Ativação:"
"TID_INFO_ACTIVATION_TYPE_HIT_BUILDING_IN_RANGE","A estrutura no alcance é atingida"
"TID_INFO_ACTIVATION_TYPE_UNIT_IN_RANGE","Alvo no alcance"
"TID_INFO_BALLOON_CARRIER","Carregado de ossos em vez de bombas. Os Esqueletos pulam desses balões diretamente do lado do inimigo."
"TID_INFO_BALLOON_CARRIER_SHORT","Atenção: é preciso montar a tripulação."
"TID_INFO_DAMAGE_TYPE","Tipo de dano:"
"TID_INFO_DAMAGE_TYPE_AOE","Área"
"TID_INFO_DAMAGE_TYPE_MULTIPLE","Alvos múltiplos"
"TID_INFO_DAMAGE_TYPE_SINGLE","Alvo único"
"TID_INFO_EFFECT_TYPE","Tipo de efeito:"
"TID_INFO_FORGING_TIME","Tempo de preparação:"
"TID_INFO_HEAL_TYPE","Tipo de cura:"
"TID_INFO_HOUSING","Espaço de habitação:"
"TID_INFO_NO_TAG","Nenhuma categoria selecionada"
"TID_INFO_POP_UP_IAP_NOTE","Clash of Clans é grátis para jogar, mas alguns itens podem ser adquiridos com dinheiro de verdade. Para desativar isso, desabilite as compras no aplicativo nas configurações do seu dispositivo. Você deve ter 13 anos ou mais."
"TID_INFO_POP_UP_IAP_NOTE_ANDROID","O Clash of Clans é grátis para jogar, mas você pode acelerar seu progresso com compras no aplicativo. Para desativar essa opção, defina uma proteção de senha para as compras nas configurações do aplicativo no Google Play. Você deve ter 13 anos ou mais para jogar."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","Ok"
