"TID","EN"
"TID_HINT_DARK_ELIXIR_BUILDINGS","Dark Elixir can be stored and produced starting with Town Hall 7, along with Dark Elixir troops!"
"TID_HINT_DARK_ELIXIR_LOOT","You can start looting Dark Elixir as soon as you have built the storage for it."
"TID_HINT_DARK_ELIXIR_USAGE","You can use Dark Elixir to summon the mightiest Heroes in the realm!"
"TID_HINT_DARK_SPELLS","Dark Spells can take less storage space than regular Spells, allowing you to take more of them!"
"TID_HINT_DEFENSE","Building good defenses is just as important as aggressive attacking"
"TID_HINT_DPS","The Damage statistic in Unit and Defense info is measured as Damage Per Second."
"TID_HINT_DRAGON_AIR","The Dragon is a mighty flying unit that can attack both ground and air targets"
"TID_HINT_END_BATTLE","You can end a battle and be victorious when you have won at least one star in it."
"TID_HINT_ENEMY_TOWN_HALL","Destroying an enemy's Town Hall always gives you one star"
"TID_HINT_FORUMS","Join the Clash of Clans Forums! Look in Settings - More."
"TID_HINT_GEAR_UP","Look for a Gear Up option in your Home Village defenses to apply special upgrades from the Master Builder!"
"TID_HINT_GEM_MINE","Rebuild the Gem Mine to start collecting extra Gems!"
"TID_HINT_GIANT_DEPLOY","Giants can take a lot of damage. Deploy them first to draw the defenders' attention."
"TID_HINT_GIANT_TARGET","Giants prefer to attack defensive structures like Cannons"
"TID_HINT_GOBLIN_DAMAGE","Goblins deal double damage to resource buildings"
"TID_HINT_GOBLIN_TARGET","Goblins are greedy for Gold and Elixir. Their favorite targets are resource buildings"
"TID_HINT_GUARD","An active Guard protects you from attacks and lets you freely attack others!"
"TID_HINT_GUARD_GAIN","You get some Guard each time a Shield runs out. This is a great time to attack!"
"TID_HINT_GUARD_GAIN_TIME","The higher your League, the more Guard you get whenever a Shield runs out!"
"TID_HINT_GUARD_LOSE","You can attack all you want without losing any of your active Guard"
"TID_HINT_HEALER_AIR","The Healer is a flying unit. Air Defenses and Archer Towers can shoot her down quickly"
"TID_HINT_HEALER_INFO","Healers can heal your ground units, but won't attack enemies"
"TID_HINT_HEROES_ABILITIES","Heroes have upgradable special abilities that unlock at level 5 and can be used while attacking."
"TID_HINT_HERO_GRAND_WARDEN","The Grand Warden harnesses mysterious artifacts to make nearby troops tough as nails."
"TID_HINT_HERO_GRAND_WARDEN_MODE","Using an flying army? Try setting the Grand Warden to air mode!"
"TID_HINT_INFERNO_TOWER_AMMO","The Inferno Tower burns Dark Elixir to power its flame. Be sure to keep it fully loaded!"
"TID_HINT_INFERNO_TOWER_TARGETS_1","The Inferno Tower can deal devastating damage to units it stays focused on."
"TID_HINT_INFERNO_TOWER_TARGETS_2","The Inferno Tower damage rate resets to the minimum each time it switches targets."
"TID_HINT_LABORATORY","You can upgrade your troops in the Laboratory to make them better and stronger!"
"TID_HINT_LABORATORY_UPGRADES","You can't cancel upgrades in the Laboratory once they are started. Plan ahead!"
"TID_HINT_LEAGUE_SHOP","League Shop offers some of the best rewards in existence, but you'll need to fight in the Clan War Leagues to get them!"
"TID_HINT_LEAGUE_SHUFFLING2","Each League Season lasts for one month."
"TID_HINT_LOOT_CART","Collect Loot Carts to recover resources lost on defense."
"TID_HINT_MORTAR_DAMAGE","Mortars deal splash damage to all ground units near the hit location"
"TID_HINT_MORTAR_TARGET","Mortars can only shoot at ground targets"
"TID_HINT_NAMECHANGE","You can't change the name of your Village. Your Villagers wouldn't know where they live!"
"TID_HINT_OBSTACLES","Clearing obstacles like rocks and trees sometimes rewards you with Gems"
"TID_HINT_PEKKA_INFO","Is P.E.K.K.A a knight? A samurai? A robot? No one knows!"
"TID_HINT_PEKKA_TRAP","The armor on P.E.K.K.A is so heavy that the Spring Trap does not work on her."
"TID_HINT_PUSH_TRAP","Rotate Push Traps to toss troops in the direction you want."
"TID_HINT_REBUILD_BOAT","Use the boat on your shores to access the Builder Base!"
"TID_HINT_REBUILD_CLANCASTLE","Rebuild the ruined Clan Castle to join forces with other players!"
"TID_HINT_REPLAY","You can watch Battle Replays from the Battle Log!"
"TID_HINT_RESOURCES_ARE_SAFE","Resources in your Builder Base can not be stolen by enemies."
"TID_HINT_RESOURCE_LOSSES","Even if your Village is completely destroyed, you always keep some of your Gold and Elixir"
"TID_HINT_RESOURCE_UPGRADE_NOT_FUNCTIONING","Gold Mines and Elixir Collectors do not generate resources while they are being upgraded"
"TID_HINT_REVENGE_OF_REVENGE","Revenge attack is unavailable against players that you attacked first."
"TID_HINT_ROYAL_CHAMPION","The Royal Champion can jump over Walls to charge at enemy defenses!"
"TID_HINT_SAFEGUARD_PROGRESS","Sign in using your Supercell ID account to safeguard your progress."
"TID_HINT_SCATTERSHOT","The Scattershot excels in dealing damage to troops behind the initial target."
"TID_HINT_SHIELD","Taking a break from Clash of Clans? Buy a Shield to protect your trophies!"
"TID_HINT_SHIELD2","An active Shield protects you from attacks, though attacking others will shorten it."
"TID_HINT_SHIELD_GAIN","You get a free Shield if an attacker destroys your Village"
"TID_HINT_SHIELD_GAIN_TIME","You get a longer lasting Shield if your Village takes a lot of damage"
"TID_HINT_SHIELD_LOSE","If you attack another player while you have an active Shield, you will lose a few hours of the Shield"
"TID_HINT_SHIELD_SINGLE_PLAYER","You can attack the Goblin Horde (play single player missions) without losing your active Shield"
"TID_HINT_SIEGE BARRACKS","Siege Barracks is great for starting your attack with and providing cover for the rest of your army!"
"TID_HINT_SINGLE_PLAYER_REWARDS","Need a bit more Gold for an upgrade? Take it from the Goblins in a single player mission!"
"TID_HINT_SPELL_EARTHQUAKE1","Earthquake Spells can heavily punish tight groups of buildings with high hitpoints."
"TID_HINT_SPELL_EARTHQUAKE2","Repeated Earthquake Spells deal less damage to the same buildings."
"TID_HINT_SPELL_FREEZE","The Freeze Spell prevents buildings and troops from defending within its radius."
"TID_HINT_SPELL_FREEZE_DURATION","Upgrade the Freeze Spell to disable defenses and troops for a longer time."
"TID_HINT_SPELL_HEALING","The Healing Spell creates a ring of healing that heals your units while inside."
"TID_HINT_SPELL_JUMP","The Jump Spell creates a temporary path over enemy Walls for your Troops to follow."
"TID_HINT_SPELL_JUMP_2","Try using the Jump Spell to redirect melee Troops who are busy attacking a Wall!"
"TID_HINT_SPELL_JUMP_DURATION","Upgrade the Jump Spell to give your units more time to jump over Walls."
"TID_HINT_SPELL_LIGTHNING","The Lightning Spell damages units and buildings in a small area."
"TID_HINT_SPELL_POISON_CLOUD1","Poison Spells are very effective against large groups of enemy skeletons."
"TID_HINT_SPELL_POISON_CLOUD2","Your army will fight much more effectively against Clan Castle troops inside a Poison Spell."
"TID_HINT_SPELL_RAGE","The Rage Spell creates a ring of rage that makes your units stronger and faster while inside."
"TID_HINT_SPELL_SPEEDUP","Haste Spells are great on troops with high damage but low speed, like Balloons or P.E.K.K.A."
"TID_HINT_STAR_BONUS","Earn a Star Bonus every day by winning multiplayer battles."
"TID_HINT_STAR_BONUS_LEAGUE","Earn bigger Star Bonuses at higher Leagues!"
"TID_HINT_STORAGES_SPELL_IMMUNITY","All resource storages are immune to Spell damage!"
"TID_HINT_SWAP_TROOPS","Want to change your strategy before attacking? Tap the green arrows to swap troops!"
"TID_HINT_TESLA_HIDDEN","The Hidden Tesla tower is hidden from attackers until they come close enough"
"TID_HINT_TESLA_TARGET","The Hidden Tesla can attack both air and ground units"
"TID_HINT_TH12_MAX_LEVEL_WEAPON","Beware of rushing a fully upgraded Town Hall 12 - it explodes when destroyed!"
"TID_HINT_TH12_WEAPON","Town Hall 12 has a weapon that activates when the building takes damage. Tread carefully!"
"TID_HINT_TOXIC_MINION","Deploy Beta Minions far from enemy buildings to utilize their Power Shot ability."
"TID_HINT_TRADER","The Trader on the edge of your village has a weekly changing selection of magical goods. Watch out for his free giveaways!"
"TID_HINT_TRAPS_TARGET","Traps are hidden from the attackers until they get close enough"
"TID_HINT_TRAP_REPAIR","Traps and bombs need to be re-armed after they have been used"
"TID_HINT_TRAP_UPGRADING","Be sure to upgrade your traps to keep unwanted visitors off your lawn"
"TID_HINT_TREASURY","The Treasury protects Clan War and Star Bonus loot in the Clan Castle."
"TID_HINT_TROOP_ABILITIES","Unlock and upgrade special abilities for your troops in the Star Laboratory."
"TID_HINT_TROPHY_COUNT","Trophies that you win are deducted from your opponents' trophies!"
"TID_HINT_UNLOCKS","Upgrade your Town Hall to unlock new buildings and new upgrade levels for your current buildings"
"TID_HINT_UPGRADE_CANNONS","Upgrade your Cannons to improve your defense against intruders"
"TID_HINT_UPGRADE_MINES","Out of Gold? Try upgrading your Gold Mines"
"TID_HINT_UPGRADE_TROOPS","Improve your army! Build the Laboratory and upgrade your troops"
"TID_HINT_UPGRADE_WALLS","Upgrade your Walls to slow down the enemy"
"TID_HINT_USABLE_WHILE_UPGRADING","Camps, Clan Castles and Storages remain functional while they are being upgraded."
"TID_HINT_USE_SPELLS","Spells can have a huge effect on the outcome of the battle. Be sure to use them!"
"TID_HINT_VERSUS_BATTLE1","Earn more Stars to win a Builder Battle! Destruction percentage is the tiebreaker."
"TID_HINT_VERSUS_BATTLE2","Win more Trophies to increase your Builder Battle rewards!"
"TID_HINT_VERSUS_BATTLE3","Win 3 Builder Battles a day to get a big loot bonus."
"TID_HINT_VERSUS_BATTLE4","Having trouble winning Builder Battles? Watch replays and try to improve your defense!"
"TID_HINT_VILLAGE_EDIT_MODE","Easily reorganize your Village with the Village Edit Mode"
"TID_HINT_WALLBREAKER_DAMAGE","Wall Breakers deal major damage to enemy Walls, but blow up themselves in the process"
"TID_HINT_WALLBREAKER_TARGET","Wall Breakers blast holes into Walls, opening a way to attack to enemy buildings."
"TID_HINT_WARLOCK_INFO_1","The Witch's projectile attack may be weak, but her summoned skeletons can distract defenses relentlessly"
"TID_HINT_WARLOCK_INFO_2","The Witch is highly vulnerable when all of her skeletons have been destroyed"
"TID_HINT_WARMACHINE1","Rebuild the Battle Machine to use this powerful Hero in your attacks!"
"TID_HINT_WARMACHINE2","The Battle Machine's Electric Hammer ability can be used again after it recharges!"
"TID_HINT_WELCOME","Once upon a time in a clearing in a magical forest..."
"TID_HINT_WIZARD_INFO","Wizards can dish out high damage, but can't take much in return"
"TID_HINT_WIZARD_TOWER_DAMAGE","The Wizard Tower deals damage against all units in the target area"
"TID_HINT_WIZARD_TOWER_TARGET","The Wizard Tower can target both ground and air units"
"TID_HINT_XBOW_AMMO","X-Bow uses Elixir as ammo. Remember to reload it after enemy attacks!"
"TID_HINT_XBOW_LVL_8","Upgrading your Town Hall will grant you access to a new defensive weapon called X-Bow."
"TID_HINT_XBOW_TARGETS_1","You can set the X-Bow to attack both air and ground targets at a short range."
"TID_HINT_XBOW_TARGETS_2","You can set the X-Bow to attack only ground targets at long range."
"TID_HINT_YETI","Yetis can't jump over Walls, but Yetimites can."
"TID_HITPOINTS","Hitpoints: <number>"
"TID_HITPOINT_INCREASE","Hitpoint increase: <number>"
"TID_HOG_GLIDER","Hog Glider"
"TID_HOG_GLIDER_ABILITY_HELP","Stuns the target for <num> seconds on impact."
"TID_HOG_GLIDER_ABILITY_NAME","Stunning Glide"
"TID_HOG_RAIDERS","Hog Raiders"
"TID_HOG_RIDER","Hog Rider"
"TID_HOG_WIZARD_ABILITY_HELP","Such hot stuff that nearby enemies take damage!"
"TID_HOG_WIZARD_ABILITY_NAME","Fiery Rider"
"TID_HOLIDAY_PACK","Holiday Pack"
"TID_HOME","Home"
"TID_HOUSE_PART_UNLOCKED","Clan House Part unlocked!"
"TID_HOUSING2_INFO","Your troops are stationed in Army Camps. Each camp can house only one troop type at a time. Some troops can be upgraded to fit more units per camp!"
"TID_HOUSING_INFO","Your troops are stationed in Army Camps. Build more camps and upgrade them to muster a powerful army."
"TID_HOUSING_SIEGE_MACHINES_INSIDE","Siege Machines:"
"TID_HOUSING_TROOPS_INSIDE","All troops:"
"TID_HOUSING_VILLAGE2","Units per camp:"
"TID_HUD_ATTACKER","Attacker"
"TID_HUD_DEFENDER","Defender"
"TID_HULK_BIG","Enraged Hulk"
"TID_HULK_SMALL","Hulk"
"TID_IAP_INFO_TEXT","청약철회는 구매일로부터 7일 이내 가능(단, 사용시 철회불가) 법정대리인 동의 없는 미성년자명의 결제 시 취소가능"
"TID_IAP_NOT_AVAILABLE","Please enable In-App Purchases in your device restrictions settings."
"TID_IAP_NOT_AVAILABLE_AMAZON","Purchases unavailable! Make sure that you are using a valid Amazon account and that your primary payment method is up to date."
"TID_IAP_NOT_AVAILABLE_ANDROID","Purchases unavailable! Make sure that you are using a valid Google account and that your primary payment method is up to date."
"TID_IAP_NOT_AVAILABLE_CAFE_BAZAAR","Purchases unavailable! Make sure that the Cafe Bazaar app is installed on your device."
"TID_IAP_NOT_AVAILABLE_OLD_GOOGLE_PLAY","Purchases unavailable! Google Play Store app needs to be updated."
"TID_IAP_TRANSACTION_PENDING","Please wait. Transaction is pending."
"TID_ICEGOLEM","Ice Golem"
"TID_ICE_HOUND","Ice Hound"
"TID_ICE_HOUND_ABILITY_INFO","Ice Hound's attacks slow down the target. Upon defeat, the Ice Hound freezes its surroundings."
"TID_ICE_HOUND_ABILITY_NAME","Best Served Cold"
"TID_ICE_HOUND_INFO","Free from all that lava-induced indigestion, the Ice Hound is ready to freeze the flow of battle. Chill out, or else."
"TID_ICE_PUP","Ice Pup"
"TID_ICE_PUP_INFO","Unlike most Pups, these ones are cold-hearted with ice coursing through their veins... you know, real cool cats. Their attacks will slow enemies!"
"TID_IF_LOST","Defeat:"
"TID_INCOMPLETE_CAPITAL_ARMY","Complete your Capital Army before attacking"
"TID_INFERNO_DRAGON_ABILITY_HELP","Inferno Dragon's attack becomes stronger over time when attacking a single target."
"TID_INFERNO_DRAGON_ABILITY_NAME","Inferno Beam"
"TID_INFERNO_TOWN_SCENERY","Inferno War Base Scenery"
"TID_INFO","i"
"TID_INFOBUBBLE_BUILDER_EXTRA_SUGGESTION","Other upgrades:"
"TID_INFOBUBBLE_BUILDER_INPROGRESS","Upgrades in progress:"
"TID_INFOBUBBLE_BUILDER_NOT_INPROGRESS","No upgrades in progress"
"TID_INFOBUBBLE_BUILDER_SUGGESTION","Suggested upgrades:"
"TID_INFO_ACTIVATION_TYPE","Trigger:"
"TID_INFO_ACTIVATION_TYPE_HIT_BUILDING_IN_RANGE","Building in range is hit"
"TID_INFO_ACTIVATION_TYPE_UNIT_IN_RANGE","Target in range"
"TID_INFO_BALLOON_CARRIER","Packed to the brim with bones instead of bombs, Skeletons leap out of these balloons directly next to the enemy!"
"TID_INFO_BALLOON_CARRIER_SHORT","Crew may require some assembly."
"TID_INFO_DAMAGE_TYPE","Damage type:"
"TID_INFO_DAMAGE_TYPE_AOE","Area Splash"
"TID_INFO_DAMAGE_TYPE_MULTIPLE","Multiple targets"
"TID_INFO_DAMAGE_TYPE_SINGLE","Single Target"
"TID_INFO_EFFECT_TYPE","Effect type:"
"TID_INFO_FORGING_TIME","Brewing time:"
"TID_INFO_HEAL_TYPE","Heal type:"
"TID_INFO_HOUSING","Housing Space:"
"TID_INFO_NO_TAG","No label selected"
"TID_INFO_POP_UP_IAP_NOTE","Clash of Clans is free to play, but you can speed up your progress with in-app purchases. If desired, purchases can be disabled in your device´s settings. You must also be 13+ to play."
"TID_INFO_POP_UP_IAP_NOTE_ANDROID","Clash of Clans is free to play, but you can speed up your progress with in-app purchases. To disable this, set up password protection for purchases in your Google Play Store app settings. You must also be 13+ to play."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","Okay"
"TID_INFO_POP_UP_IAP_NOTE_KUNLUN","Clash of Clans is free to play, but you can speed up your progress with in-app purchases."
"TID_INFO_POP_UP_IAP_NOTE_TENCENT","Clash of Clans is free to play, but you can speed up your progress with in-app purchases."
"TID_INFO_POP_UP_IAP_NOTE_TITLE","In-App Purchases"
"TID_INFO_POP_UP_TOS_PP_BUTTON1","OK"
"TID_INFO_POP_UP_TOS_PP_BUTTON2","Terms of Service"
"TID_INFO_POP_UP_TOS_PP_NOTE","Clash of Clans is free to play, but you can speed up progress with in-app purchases (you can disable this in your device settings). Tap OK to accept our Terms and Privacy Policy."
"TID_INFO_POP_UP_TOS_PP_NOTE_AMAZON","Clash of Clans is free to play, but you can speed up progress with in-app purchases (to block this, disable in-app purchases in your Amazon Appstore settings). Tap OK to accept our Terms and Privacy Policy."
"TID_INFO_POP_UP_TOS_PP_NOTE_ANDROID","Clash of Clans is free to play, but you can speed up progress with in-app purchases (to disable this, set up password protection in your Google Play Store app settings). Tap OK to accept our Terms and Privacy Policy."
"TID_INFO_POP_UP_TOS_PP_NOTE_KUNLUN","Clash of Clans is free to play, but you can speed up progress with in-app purchases. Tap OK to accept our Terms and Privacy Policy."
"TID_INFO_POP_UP_TOS_PP_NOTE_TENCENT","Clash of Clans is free to play, but you can speed up progress with in-app purchases. Tap OK to accept our Terms and Privacy Policy."
"TID_INFO_POP_UP_TOS_PP_TITLE","Important Notice"
"TID_INFO_PREFERRED_TARGET","Favorite target:"
"TID_INFO_RANGE","Range:"
"TID_INFO_RANGE_VALUE","<number> Tiles"
"TID_INFO_SCREEN_PASS_TEASER","With the Gold Pass you could save up to:"
"TID_INFO_SCREEN_TITLE","<object> <cffcc33>Level <number></c>"
"TID_INFO_SCREEN_TITLE_UPGRADE","Upgrade <object> to <cffcc33>Level <number>?</c>"
"TID_INFO_SCREEN_TITLE_UPGRADING","Upgrading <object> to <cffcc33>Level <number></c>"
"TID_INFO_SPELL_STORAGE","Spell Storage:"
"TID_INFO_TAGS","Add labels to describe your Clan. They help matching players to find and join your Clan!"
"TID_INFO_TAGS_PLAYER","Choose up to <max> labels to describe your play style."
"TID_INFO_TAGS_SEARCH","Choose up to <max> labels to find clans best suited for you."
"TID_INFO_TARGET_TYPE","Targets:"
"TID_INFO_TARGET_TYPE_AIR","Air"
"TID_INFO_TARGET_TYPE_BUILDINGS","Buildings"
"TID_INFO_TARGET_TYPE_BUILDINGS_AND_WALLS","Buildings & Walls"
"TID_INFO_TARGET_TYPE_DEFENSES_AND_HEROES","Defenses and Heroes"
"TID_INFO_TARGET_TYPE_GROUND","Ground"
"TID_INFO_TARGET_TYPE_GROUND_AND_AIR","Ground & Air"
"TID_INFO_TARGET_TYPE_GROUND_OR_AIR","Ground or Air"
"TID_INFO_TARGET_TYPE_UNITS","Troops"
"TID_INFO_TEST_DUMMY","Indestructible, non-damaging test dummy"
"TID_INFO_THROWING_POSITION","Deploy Position:"
"TID_INFO_THROWING_POSITION_SELF","Spell Tower"
"TID_INFO_THROWING_POSITION_TARGET","Target"
"TID_INFO_TRAINING_TIME","Training Time:"
"TID_INFO_UNIT_COUNT","<unit> count: <number>"
"TID_INVALID_CAPITAL_ARMY","Update your Capital Army before attacking"
"TID_INVALID_DESCRIPTION","Invalid description! Please try another one."
"TID_INVALID_NAME","Invalid name! Please try another one."
"TID_INVALID_PLACEMENT","You cannot deploy troops on the red area!"
"TID_INVALID_PLACEMENT_CAPITAL","Deploy troops on the white area!"
"TID_INVALID_PLAY_INSTALL","Clash of Clans is not installed correctly. Please reinstall from the Google Play Store to fix this issue."
"TID_INVALID_WAR_MEMBERS_COUNT","Members selected: <num>"
"TID_INVALID_WAR_MEMBERS_INFO_HIGH","Select maximum <value> members"
"TID_INVALID_WAR_MEMBERS_INFO_LOW","Select at least <value> members"
"TID_INVALID_WAR_MEMBERS_INFO_MID","Select either <low> or <high> members"
"TID_INVISIBILITY_SECONDS","Invisibility: Seconds"
"TID_INVISIBILITY_SPELL","Invisibility Spell"
"TID_INVISIBILITY_SPELL_INFO","Invisibility Spell makes EVERYTHING except for Walls and Siege Machines invisible and untargetable within its radius."
"TID_INVISIBILITY_SPELL_TOWER","Tower Invisibility Spell"
"TID_INVISIBILITY_TOWER_SHORT","Invisibility"
"TID_INVITATIONS_FULL","Invitations full!"
"TID_INVITE_BUTTON","Invite"
"TID_INVITE_FRIEND_CONFIRMATION","Send Clash Friend request to <name>?"
"TID_INVITE_FRIEND_CONFIRMATION_TITLE","Add Friend?"
"TID_IN_PROGRESS","In Progress"
"TID_IRONFIST_GIANT","Boxer Giant"
"TID_ITEMS_LEFT","<number> left"
"TID_ITEM_ALREADY_DONATED","You already have this reinforcement."
"TID_ITEM_BROKEN","<item> (Broken)"
"TID_ITEM_LEVEL","<item> (Level <number>)"
"TID_ITEM_LOCKED","<item> (Locked)"
"TID_JOINALLIANCEQUESTION","Accept Clan invitation?"
"TID_JOINCLAN_HUB_TEXT","<cffcc33>Join a Clan</c> and play with others for even more fun"
"TID_JOINQUESTION","Want to join?"
"TID_JOIN_ALLIANCE_TAB","Join Clan"
"TID_JOIN_CLAN_INFO_CAPITAL","Build and battle together in Clan Capital!"
"TID_JOIN_CLAN_INFO_CHAT","Chat with Clanmates!"
"TID_JOIN_CLAN_INFO_DONATE","Get free Army donations!"
"TID_JOIN_CLAN_INFO_FEATURES","Unlocks Clan Wars, Clan Games and more!"
"TID_JOIN_CLAN_INFO_TOGETHER","Play together and win more loot!"
"TID_JOIN_CLAN_TITLE","Join A Clan"
"TID_JOIN_NEW_CLAN_WHILE_IN_CLAN_TEXT","You will leave your current clan if you join this new clan. Are you sure?"
"TID_JOIN_NEW_CLAN_WHILE_IN_CLAN_TITLE","Leaving your clan"
"TID_JOIN_NOW_BUTTON","Join Now"
"TID_JOLLY_SCENERY","Jolly Scenery"
"TID_JOURNEY_FEATURE_LABORATORY","Upgrades your Army to be even stronger!"
"TID_JUMP_SPELL","Jump Spell"
"TID_JUMP_SPELL_INFO","Walls slowing you down? Try making a shortcut!\n\nCast this Spell near enemy Walls to create a route straight over them. Your Troops will jump over affected wall pieces as if they weren't even there!"
"TID_JUST_NOW","Just now"
"TID_KEYBOARD_CONTROL_ACTIVATE_SPELL","Activate Spell <num>"
"TID_KEYBOARD_CONTROL_GROUP_TITLE_CLAN_CASTLE","Clan Castle Control"
"TID_KEYBOARD_CONTROL_GROUP_TITLE_HEROES","Hero Control"
"TID_KEYBOARD_CONTROL_GROUP_TITLE_SIEGE_MACHINES","Siege Machine Control"
"TID_KEYBOARD_CONTROL_GROUP_TITLE_SPELLS","Spell Control"
"TID_KEYBOARD_CONTROL_GROUP_TITLE_TROOPS","Troop Control"
"TID_KEYBOARD_CONTROL_SELECT_CLAN_CASTLE","Select Clan Castle"
"TID_KEYBOARD_CONTROL_SELECT_HERO","Select Hero <num>"
"TID_KEYBOARD_CONTROL_SELECT_SIEGE_MACHINE","Select Siege Machine"
"TID_KEYBOARD_CONTROL_SELECT_TROOP","Select Troop <num>"
"TID_KICKED_FROM_ALLIANCE","You have been kicked from Clan: <msg>"
"TID_KICKED_FROM_ALLIANCE_NO_MSG","You have been kicked from Clan."
"TID_KICK_DEFAULT_MESSAGE","Sorry, we decided to kick you out of the clan."
"TID_KICK_FAIL_CAPITAL","You can't kick players while in Capital."
"TID_KICK_FAIL_VISITING","You can't kick players while visiting."
"TID_KICK_MESSAGE_TITLE","Kick Out: <name>?"
"TID_KICK_OUT_FROM_ALLIANCE","Kick Out"
"TID_KNOCKBACK","Push strength: <number> Tiles"
"TID_KUNLUN_APP_STORE_360","360"
"TID_KUNLUN_APP_STORE_ANZHI","Anzhi"
"TID_KUNLUN_APP_STORE_BAIDU","Baidu"
"TID_KUNLUN_APP_STORE_HUAWEI","Huawei"
"TID_KUNLUN_APP_STORE_LANDING_PAGE","Kunlun Landing Page"
"TID_KUNLUN_APP_STORE_LENOVO","Lenovo"
"TID_KUNLUN_APP_STORE_OPPO","Oppo"
"TID_KUNLUN_APP_STORE_UC","UC"
"TID_KUNLUN_APP_STORE_VIVO","Vivo"
"TID_KUNLUN_APP_STORE_WANDOUJIA","Wandoujia"
"TID_KUNLUN_APP_STORE_XIAOMI","Xiaomi"
"TID_LABORATORY_GOBLIN_HINT","I can start a second upgrade for you!"
"TID_LABORATORY_HINT","Select what you want to upgrade"
"TID_LABORATORY_HINT2","Swipe the screen to see the whole list of upgrades"
"TID_LABORATORY_HUB_TEXT","Enjoy your <cffcc33>Research Boost</c>"
"TID_LABORATORY_INFO","What dark secrets do these Wizards hide inside their Laboratory? Nobody has dared to look. All we know is that their research makes our Spells and Troops harder, better, faster and stronger!"
"TID_LABORATORY_UPGRADING","Upgrading:"
"TID_LABORATORY_UPGRADING_CANNOT_START_SPELL","Cannot start spell upgrade while Laboratory is upgrading"
"TID_LABORATORY_UPGRADING_CANNOT_START_UNIT","Cannot start unit upgrade while Laboratory is upgrading"
"TID_LAKE_CORNER","Lake Corner"
"TID_LAKE_CURVE","Lake Curve"
"TID_LAKE_STRAIGHT1","Lake Straight"
"TID_LANGUAGE_LOCALIZED_NAME","English"
"TID_LANGUAGE_OTHER","Other"
"TID_LAST_ONLINE_MULTIPLE_DAYS_AGO","Played <num> days ago"
"TID_LAST_ONLINE_MULTIPLE_WEEKS_AGO","Played <num> weeks ago"
"TID_LAST_ONLINE_ONE_DAY_AGO","Played a day ago"
"TID_LAST_ONLINE_ONE_WEEK_AGO","Played a week ago"
"TID_LAST_ONLINE_OVER_MONTH_AGO","Played over a month ago"
"TID_LAST_ONLINE_OVER_WEEK_AGO","Played over a week ago"
"TID_LAST_ONLINE_WITHIN_24H","Played recently"
"TID_LAST_WAR","Last War:"
"TID_LAVALOON_ABILITY_HELP","When its bombs explode they also spawn Lavaloon Pups."
"TID_LAVALOON_ABILITY_NAME","Boom + Bust"
"TID_LAVA_LAUNCHER_INFO","Hurls molten rock over great distances. Sets the ground on fire, which really turns up the heat for enemy ground troops!"
"TID_LAYOUTS_ACTIVE_BASE","Active Base"
"TID_LAYOUTS_ACTIVE_LAYOUT","Active layout"
"TID_LAYOUTS_ACTIVE_VILLAGE","Active Village"
"TID_LAYOUTS_ACTIVE_WAR_BASE","Active War Base"
"TID_LAYOUTS_ALREADY_ACTIVE","Layout already in use"
"TID_LAYOUTS_ALREADY_DEFENSIVE","Layout is already set to defend"
"TID_LAYOUTS_CANT_COPY_EMPTY","Can't copy an empty layout"
"TID_LAYOUTS_CANT_REPLACE_ACTIVE","Can't replace active layout"
"TID_LAYOUTS_COPY_BUTTON","Copy layout"
"TID_LAYOUTS_COPY_EXPLANATION","Select home or war slot to copy selected layout."
"TID_LAYOUTS_COPY_EXPLANATION_V2","Select a slot to copy selected layout."
"TID_LAYOUTS_COPY_LABEL","Copy layout"
"TID_LAYOUTS_DEFENSIVE_LAYOUT","Defensive Layout"
"TID_LAYOUTS_EDIT_BUTTON","Edit layout"
"TID_LAYOUTS_EMPTY_SLOT","Empty"
"TID_LAYOUTS_EXPLANATION",
"TID_LAYOUTS_INCOMPLETE","Layout needs to be finished first"
"TID_LAYOUTS_INVALID","Error saving layout"
"TID_LAYOUTS_LAST_USED","Last Used"
"TID_LAYOUTS_OBSTRUCTED","Some obstacles need to be cleared first"
"TID_LAYOUTS_REBUILD_CLAN_CASTLE","You must rebuild your Clan Castle first"
"TID_LAYOUTS_SET_DEFENSE_BUTTON","Set as defensive"
"TID_LAYOUTS_USE_BUTTON","Set as active"
"TID_LAYOUTS_VILLAGE","Home Village"
"TID_LAYOUTS_VILLAGE2","Builder Base"
"TID_LAYOUTS_WARBASE","War Base"
"TID_LAYOUTS_WARBASE_INFO","Note: Editing the active War Base layout during Battle Day will only take effect in the next war."
"TID_LAYOUT_CHANGED_ERROR","This layout has been recently modified, it can be used again in <time>."
"TID_LAYOUT_EDITOR","Layout Editor"
"TID_LAYOUT_EDITOR_UNAVAILABLE","Layout editor is unavailable for <time>"
"TID_LAYOUT_LINK_COPIED_TO_CLIPBOARD","Layout link copied to device clipboard!"
"TID_LAYOUT_SLOT_UNLOCK","Purchase additional Layout slot with Gems"
"TID_LEADERBOARDBANNER_1","1)"
"TID_LEADERBOARDBANNER_2","2)"
"TID_LEADERBOARDBANNER_3","3)"
"TID_LEADERBOARDBANNER_CLANTOURNAMENTS","Clan Tournament"
