"TID","NL"
"TID_LOADING_FACEBOOK_FRIENDS","Vriendenlijst wordt geladen..."
"TID_LOCAL_NOTIFICATION_BP_SEASON_ENDING","Verdien meer punten en beloningen tijdens de seizoensuitdagingen voor het seizoen voorbij is."
"TID_LOCAL_NOTIFICATION_BP_SEASON_ENDING_MAXED_POINTS","Haal beloningen van de seizoensuitdagingen op voor het seizoen voorbij is."
"TID_LOCAL_NOTIFICATION_BUILDER_STAR_BONUS_READY","Tijd om naar de bouwersbasis te gaan. Je sterbonus staat klaar!"
"TID_LOCAL_NOTIFICATION_BUILDING_READY","Bouw van <item> voltooid"
"TID_LOCAL_NOTIFICATION_CLAN_GAMES_CHECK_RESULTS","De clanspelen zijn voorbij. Tijd om de resultaten te bekijken."
"TID_LOCAL_NOTIFICATION_CLAN_GAMES_ENDING_SOON","De clanspelen lopen binnenkort af. Tijd om zoveel mogelijk punten te behalen!"
"TID_LOCAL_NOTIFICATION_CLAN_GAMES_ENDING_SOON_ALL_POINTS","De clanspelen lopen binnenkort af."
"TID_LOCAL_NOTIFICATION_CLAN_GAMES_TASK_EXPIRING","Je clanspelenuitdaging loopt bijna af."
"TID_LOCAL_NOTIFICATION_CLOCK_TOWER","Er is een boost voor de klokkentoren beschikbaar."
"TID_LOCAL_NOTIFICATION_EVENT_6TH_1_GEM_BOOST","We vieren onze zesde verjaardag! Verdubbel je grondstofproductie. Geef grondstofgebouwen een boost voor één edelsteen per stuk."
"TID_LOCAL_NOTIFICATION_EVENT_6TH_ANNVERSARY_PACK","Chief, ze zijn er! Bekijk onze exclusieve verjaardagspakketten voor de zesde verjaardag van Clash of Clans."
"TID_LOCAL_NOTIFICATION_EVENT_ALL_ARMY_BOOST","Chief, er is een legerboostevenement voor 1 edelsteen gestart!"
"TID_LOCAL_NOTIFICATION_EVENT_ALL_COLLECTORS_BOOST","Chief, er is een grondstoffenboostevenement voor 1 edelsteen gestart!"
"TID_LOCAL_NOTIFICATION_EVENT_ANNIVERSARY_OFFER","Chief, de verjaardagsaanbieding is tijdelijk verkrijgbaar."
"TID_LOCAL_NOTIFICATION_EVENT_ARMY_DISCOUNT","Chief, er is een speciaal legerevenement gestart!"
"TID_LOCAL_NOTIFICATION_EVENT_CHINESENEWYEAR","Chief, er is nu een speciale lunair-nieuwjaarsaanbieding beschikbaar!"
"TID_LOCAL_NOTIFICATION_EVENT_CLAN_LOOTXP","Høvding, du kan få 2x utbytte og XP i løpet av klankrigen!"
"TID_LOCAL_NOTIFICATION_EVENT_CLAN_LootXP","Chief, verdien dubbel zoveel buit en XP tijdens dit clanoorlogenevenement."
"TID_LOCAL_NOTIFICATION_EVENT_CLAN_XP","Chief, er is een clan-XP-evenement gestart!"
"TID_LOCAL_NOTIFICATION_EVENT_END_OF_SUMMER_OFFER_TH0212","De zomer is voorbij, maar op het slagveld gaat het er altijd heet aan toe. Mis deze exclusieve aanbiedingen niet!"
"TID_LOCAL_NOTIFICATION_EVENT_GEM_BOOST_ATTACK","Boost nu voor 1 edelsteen! Train een volledig leger 4x sneller door je troepentraining, het brouwen van spreuken en je helden een boost te geven."
"TID_LOCAL_NOTIFICATION_EVENT_HAMMERJAM_PACK","Chief, er is een superspeciale Hammer Jam-aanbieding voor je."
"TID_LOCAL_NOTIFICATION_EVENT_HAMMERJAM_PACK2","Chief, er is een speciale update-aanbieding voor je."
"TID_LOCAL_NOTIFICATION_EVENT_HERO_BOOST","Chief, er is een heldenboostevenement voor 1 edelsteen gestart!"
"TID_LOCAL_NOTIFICATION_EVENT_MAGICITEM_PACK","Chief, er is nu een magische artefacten-aanbieding beschikbaar!"
"TID_LOCAL_NOTIFICATION_EVENT_NOOB_PACK_0099_0299","Chief, hier is een eenmalige aanbieding om je te helpen. Gebruik 'm verstandig en ga voor de overwinning!"
"TID_LOCAL_NOTIFICATION_EVENT_REGULAR_THEMED_BATTLE_TH0212","Er worden oorlogskreten geslaakt voor de overwinning! Upgrade je troepen en leid je clan het oorlogsveld op met deze speciale aanbieding."
"TID_LOCAL_NOTIFICATION_EVENT_REGULAR_THEMED_BUILD_TH0212","Doe maar rustig aan, Chief, want het hoogtepunt van de oorlog moet nog komen. Gebruik deze tijd om je verdedigingswerken te upgraden met deze speciale aanbieding."
"TID_LOCAL_NOTIFICATION_EVENT_REGULAR_THEMED_PREPARE_TH0212","Roep je troepen bij elkaar voor de strijd losbarst! Upgrade je helden en troepen en gebruik krachtigere spreuken met deze upgradeaanbieding."
"TID_LOCAL_NOTIFICATION_EVENT_SPECIAL_OFFER","Chief, er is een tijdelijk beschikbare, enorm voordelige aanbieding!"
"TID_LOCAL_NOTIFICATION_EVENT_SPECIAL_SPELL","Chief, er is nu een tijdelijk beschikbare spreuk!"
"TID_LOCAL_NOTIFICATION_EVENT_SPECIAL_TRAP","Chief, er is nu een tijdelijk beschikbare val!"
"TID_LOCAL_NOTIFICATION_EVENT_SPECIAL_TROOP","Chief, er is nu een tijdelijk beschikbare eenheid!"
"TID_LOCAL_NOTIFICATION_EVENT_SPECIAL_TROOP_DRAGONLIGHTNING","Chief, verdien 200 edelstenen tijdens het draken-bliksemevenement."
"TID_LOCAL_NOTIFICATION_EVENT_SPECIAL_TROOP_DragonLighting","Chief, verdien 200 edelstenen tijdens het draken-bliksemevenement."
"TID_LOCAL_NOTIFICATION_EVENT_SPECIAL_TROOP_GOVAHO","Høvding, bruk golemer, valkyrjer og villsvinryttere i denne spesialhendelsen!"
"TID_LOCAL_NOTIFICATION_EVENT_SPECIAL_TROOP_GoVaHo","Chief, gebruik golems, valkyries en varkensruiters tijdens dit speciale evenement."
"TID_LOCAL_NOTIFICATION_EVENT_SPELL_BREWING_BOOST","Chief, er is een brouwboostevenement voor 1 edelsteen gestart!"
"TID_LOCAL_NOTIFICATION_EVENT_SPELL_DISCOUNT","Chief, er is een spreukenevenement gestart!"
"TID_LOCAL_NOTIFICATION_EVENT_STAR_BONUS","Chief, er is een sterbonusevenement gestart!"
"TID_LOCAL_NOTIFICATION_EVENT_STAR_BONUS_4X","Chief, er is een 4x-sterbonusevenement gestart!"
"TID_LOCAL_NOTIFICATION_EVENT_TROOP_DISCOUNT","Chief, er is een troepenevenement gestart!"
"TID_LOCAL_NOTIFICATION_EVENT_TROOP_TRAINING_BOOST","Chief, er is een trainingsboostevenement voor 1 edelsteen gestart!"
"TID_LOCAL_NOTIFICATION_EVENT_XMAS_1","Chief, vier Clashmis met boosts voor één edelsteen en de verrassing van de kerstman!"
"TID_LOCAL_NOTIFICATION_EVENT_XMAS_2","Chief, Clashmis is nog niet afgelopen. Maak kennis met de vriesval!"
"TID_LOCAL_NOTIFICATION_EVENT_XMAS_3","Chief, train ijstovenaars gedurende de laatste dagen van Clashmis!"
"TID_LOCAL_NOTIFICATION_EVENT_XMAS_MAGICITEM","Chief, de eerste feestdagenaanbieding met magische artefacten is nu beschikbaar!"
"TID_LOCAL_NOTIFICATION_EVENT_XMAS_RESOURCES","Chief, er is nu een feestdagenaanbieding beschikbaar die je niet mag missen!"
"TID_LOCAL_NOTIFICATION_FORGOT_ARMY","Oeps! Ben je vergeten je leger te trainen?"
"TID_LOCAL_NOTIFICATION_FORGOT_SPELLS","Oeps! Ben je vergeten je spreuken te brouwen?"
"TID_LOCAL_NOTIFICATION_GEARUP_READY","Verbetering van <item> is klaar."
"TID_LOCAL_NOTIFICATION_GUARD_WILL_DISAPPEAR","Chief, onze bescherming loopt bijna af!"
"TID_LOCAL_NOTIFICATION_HERO_HAS_FULL_HEALTH","<name> is klaar voor een nieuw gevecht!"
"TID_LOCAL_NOTIFICATION_LABORATORY_UPGRADE_DONE","<item> geüpgraded naar level <level>"
"TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR","Chief, ons schild werkt niet meer!"
"TID_LOCAL_NOTIFICATION_STAR_BONUS_READY","Sterbonus beschikbaar! Tijd om te vechten!"
"TID_LOCAL_NOTIFICATION_TRAINING_HAS_STOPPED","Je leger staat klaar!"
"TID_LOCAL_NOTIFICATION_UPGRADE_READY","<item> geüpgraded naar level <level>"
"TID_LOCAL_NOTIFICATION_WAR_ENDS","De clanoorlog is bijna afgelopen!"
"TID_LOCAL_NOTIFICATION_WAR_PREPARATION_ENDS","De voorbereiding van de clanoorlog is bijna afgelopen."
"TID_LOCAL_NOTIFICATION_YOUR_ARMY_IS_READY","Je troepen staan klaar!"
"TID_LOCAL_NOTIFICATION_YOUR_ARMY_IS_READY_ALL","Je leger is klaar om ten strijde te trekken!"
"TID_LOCAL_NOTIFICATION_YOUR_SPELLS_ARE_READY","Je spreuken zijn klaar voor de strijd!"
"TID_LOCKED_BY_BARRACK_LEVEL",
"TID_LOCKED_BY_LABORATORY_LEVEL",
"TID_LOCKED_IN_TUTORIAL","Voltooi de tutorial om deze functie te ontgrendelen!"
"TID_LOCKED_ITEM_LEVEL","<item> (wordt ontgrendeld op level <number>)"
"TID_LOGIN_RESTRICTED_BY_LOCATION","Het is niet mogelijk om je aan te melden vanuit je huidige locatie."
"TID_LOGIN_TO_FACEBOOK_BUTTON","Meld je aan op Facebook"
"TID_LOGIN_TO_SCID_BUTTON","Aanmelden bij Supercell ID"
"TID_LOG_BUTTON","Logboek"
"TID_LOOT","Grondstoffen verloren:"
"TID_LOOTCART_HUB_TEXT","Verzamel <cffcc33>bonusbuit</c> en begin met het upgraden van je dorp."
"TID_LOOT_AVAILABLE","Beschikbare buit:"
"TID_LOOT_CART","Buitkar"
"TID_LOOT_CART_INFO","De aanvallers hebben wat buit achtergelaten. Zorg dat je deze buit na elke verdediging inpikt!"
"TID_LOOT_CART_TRANSFERRED","Grondstoffen uit buitkar ingepikt!"
"TID_LOOT_GAINED","Buit geplunderd:"
"TID_LOOT_LIMIT_RESET_NOTIFICATION","Chief, er is meer buit in de bouwersbasis beschikbaar. Tijd om te vechten!"
"TID_LOOT_RECEIVED","Ontvangen buit:"
"TID_LOOT_SHORT","Buit:"
"TID_LUMBERJACK","Houthakker"
"TID_MAGIC_ARCHER_ABILITY_HELP","De pijlen van de superboogschutter brengen schade toe aan meerdere doelwitten achter elkaar."
"TID_MAGIC_ARCHER_ABILITY_NAME","Scherp schot"
"TID_MAGIC_SCENERY","Magische omgeving"
"TID_MAGIC_THEATRE_SCENERY","Magisch-theateromgeving"
"TID_MAINTENANCE_COMING_SOON_TEXT","Hoi Chief! We staan op het punt om onderhoud te verrichten aan de servers. We gaan zo snel mogelijk weer live!"
"TID_MAINTENANCE_COMING_SOON_TITLE","Er staat onderhoud op stapel"
"TID_MAINTENANCE_ESTIMATED_HOUR","Probeer het over ongeveer een uur opnieuw."
"TID_MAINTENANCE_ESTIMATED_HOUR_AND_HALF","Probeer het over ongeveer anderhalf uur opnieuw."
"TID_MAINTENANCE_ESTIMATED_LONG","Probeer het over een aantal uren opnieuw."
"TID_MAINTENANCE_ESTIMATED_MINUTES","Probeer het over ongeveer <value> minuten opnieuw."
"TID_MAINTENANCE_ESTIMATED_SOON","Probeer het over een paar minuten opnieuw."
"TID_MAINTENANCE_ESTIMATED_TWO_HOURS","Probeer het over een paar uur opnieuw."
"TID_MAINTENANCE_ESTIMATED_UNKNOWN","Probeer het later opnieuw."
"TID_MAINTENANCE_NORMAL_TEXT","Speel een potje Clash Royale terwijl je wacht!"
"TID_MAINTENANCE_NORMAL_TITLE","Onderbreking wegens onderhoud"
"TID_MAINTENANCE_UPDATE_TEXT","De meest recente update van Clash of Clans komt eraan, dus bereid je voor op een nieuwe eenheid en nog veel meer!"
"TID_MAINTENANCE_UPDATE_TITLE","Er komt een update aan!"
"TID_MAKE_SCENERY","Supercell Make-omgeving\n\nConcept van:\n<cff8000><CREDIT></c>"
"TID_MAKE_SKIN","Supercell Make-skin\n\nConcept van:\n<cff8000><CREDIT></c>"
"TID_MAP_LOCATION_1","Meer van P.E.K.K.A."
"TID_MAP_LOCATION_10","Koboldenkamp"
"TID_MAP_LOCATION_11","Bedorven zee"
"TID_MAP_LOCATION_12","Goudstulpje"
"TID_MAP_LOCATION_13","Kolossale pas"
"TID_MAP_LOCATION_14","Verlaten uitkijkpost"
"TID_MAP_LOCATION_15","Koninginnenhaven"
"TID_MAP_LOCATION_16","Smeulende heuvels"
"TID_MAP_LOCATION_17","Drakenmeer"
"TID_MAP_LOCATION_18","Adelaarspad"
"TID_MAP_LOCATION_19","Palingenmeer"
"TID_MAP_LOCATION_2","Verboden woud"
"TID_MAP_LOCATION_20","Neuriënde berg"
"TID_MAP_LOCATION_21","Storm in een glas water"
"TID_MAP_LOCATION_22","Droog meer"
"TID_MAP_LOCATION_23","Bouwvakkerssteen"
"TID_MAP_LOCATION_24","Spreukenstad"
"TID_MAP_LOCATION_25","Regenachtige vlakte"
"TID_MAP_LOCATION_3","Victorievallei"
"TID_MAP_LOCATION_4","Barbaria"
"TID_MAP_LOCATION_5","Bevroren meer"
"TID_MAP_LOCATION_6","Plunderbaai"
"TID_MAP_LOCATION_7","Stenen meer"
"TID_MAP_LOCATION_8","Aslanboog"
"TID_MAP_LOCATION_9","Zuurvijver"
"TID_MASS_TAG_CLAN","clan"
"TID_MASS_TAG_LEADERS","leiders"
"TID_MASTER_BUILDER'S_RETURN","Terugkeer van de meesterbouwer"
"TID_MASTER_BUILDER_BUILDING","Meesterbouwkeet"
"TID_MASTER_BUILDER_BUSY","De meesterbouwer is bezig!"
"TID_MASTER_BUILDER_INFO","Het tweede huisje van de meesterbouwer. Hij is beschikbaar als een extra bouwvakker terwijl hij in het thuisdorp verblijft."
"TID_MATCHMAKE_VILLAGE2_TITLE","Bouwersbasisgevecht"
"TID_MATCH_VICTORY_BONUS","Max. buitbonus:"
"TID_MAX_DPS","Max. schade per seconde: <number>"
"TID_MAX_MEDALS","Alle medailles"
"TID_MAX_MEDALS_INFO","Medailles geclaimd via het traject"
"TID_MAX_SECONDARY_UNITS","Uitgestoten eenheden: <number>"
"TID_MAX_SUMMONED_UNITS","Max. opgeroepen eenheden: <number>"
"TID_MAX_TROOP_LEVEL","Max. level"
"TID_MEDALS","Divisiemedailles"
"TID_MEDAL_EVENT_BUTTON_TITLE","Beloningen"
"TID_MEDAL_EVENT_COMBAT_ITEM_LOCKED","Verzamel meer <soft_currency> om dit te ontgrendelen."
"TID_MEDAL_EVENT_END_GOLD","Het evenement is afgelopen. Je resterende medailles zijn omgezet in <num> goud."
"TID_MEDAL_EVENT_HARD_CURRENCY","Medaille-evenement: harde valuta"
"TID_MEDAL_EVENT_INFO_TRACK_ENDED","Het is niet meer mogelijk om voortgang te boeken, maar er is nog steeds tijd om beloningen te claimen en je <hard_currency> uit te geven bij de handelaar!"
"TID_MEDAL_EVENT_SOFT_CURRENCY","Medaille-evenement: zachte valuta"
"TID_MEDAL_EVENT_TRACK_END","Het evenement is afgelopen. Je kunt je medailles nog steeds ruilen bij de handelaar!"
"TID_MEDAL_EVENT_TROOP_BONUS","Bonus voor het gebruik van: <troop>"
"TID_MEGA_TESLA_INFO","De mega-Tesla deelt een krachtige stoot uit om zware schade toe te brengen aan zelfs de meest geharde eenheden."
"TID_MEMBERS_SORTED_ALPHABETICALLY","Alfabetisch"
"TID_MEMBERS_SORTED_BY_ACTIVE","Voor het laatst actief"
"TID_MEMBERS_SORTED_BY_REPUTATION","Reputatie"
"TID_MEMBERS_SORTED_BY_ROLE","Rol"
"TID_MEMBERS_SORTED_BY_TOWN_HALL","Hoogste stadhuislevel"
"TID_MEMBERS_SORTED_BY_TROOPS_DONATED","Meeste troepen gedoneerd"
"TID_MEMBERS_SORTED_BY_TROOPS_RECEIVED","Meeste troepen ontvangen"
"TID_MEMBERS_SORTED_BY_TROPHY","Meeste trofeeën"
"TID_MEMBERS_SORTED_BY_XP","Hoogste XP-level"
"TID_MERGE_REQUIREMENTS","Vereisten:"
"TID_MESSAGE_INFO_WAR_SIGNUP_ACTIVE","Je hebt al een actieve aanmelding voor de clanoorlog in de chat."
"TID_MESSAGE_WAR_SIGNUP_CONFIRM","Wil je een aanmelding voor de clanoorlog naar de clanchat sturen?"
"TID_MESSAGE_WAR_SIGNUP_CONFIRM_TITLE","Aanmelding voor clanoorlog versturen?"
"TID_ME_BONUS_POINTS_INFO","Verdien <num> <soft_currency> door de Event Pass te kopen!"
"TID_ME_BONUS_POINTS_TITLE","<soft_currency>"
"TID_MINER","Mijnwerker"
"TID_MINER_INFO","Deze stiekeme schoffelaars graven tunnels, ook onder muren door, en komen vlakbij hun doelwitten weer boven de grond. Ondergronds kunnen mijnwerkers geen schade oplopen en activeren ze ook geen vallen, maar ze krijgen wel bonussen door spreuken."
"TID_MINION_HORDE","Horde gunstelingen"
"TID_MINI_SPELL_FACTORY_INFO","Alleen de meest briljante of roekeloze meestertovenaars wagen zich aan brouwsels van duister elixir. Duistere spreuken vereisen een hoge mate van expertise, maar bieden unieke tactische voordelen."
"TID_MISSION_COMPLETE_TITLE","Missie voltooid!"
"TID_MISSION_REWARD","Beloning:"
"TID_MISSION_SCREEN_TITLE","Missies"
"TID_MODE_STILL_LOCKED","Upgrade om te ontgrendelen."
"TID_MONTH_1","Januari"
"TID_MONTH_10","Oktober"
"TID_MONTH_11","November"
"TID_MONTH_12","December"
"TID_MONTH_2","Februari"
"TID_MONTH_3","Maart"
"TID_MONTH_4","April"
"TID_MONTH_5","Mei"
"TID_MONTH_6","Juni"
"TID_MONTH_7","Juli"
"TID_MONTH_8","Augustus"
"TID_MONTH_9","September"
"TID_MOREGAMES","Meer games"
"TID_MORE_APPBANK","AppBank"
"TID_MORE_AVAILABLE_AGAIN_IN","Alle buit gewonnen voor vandaag. Meer beschikbaar over:"
"TID_MORE_CAPITAL_UPGRADES_NEEDED","Ontgrendel of upgrade nog <number> gebouwen of vallen in een district om het Capitool te upgraden."
"TID_MORE_CLASH_COM","Verken de wereld van Clash op ClashofClans.com"
"TID_MORE_FACEBOOK","Lees het laatste nieuws! Kijk op Facebook!"
"TID_MORE_FAMITSU","ファミ通App"
"TID_MORE_FORUMS","Sluit je aan bij de Clash of Clans-community!"
"TID_MORE_HUNGRYAPP","클래시 오브 클랜 공략 및 팁을 지금 바로 공유하세요!"
"TID_MORE_INSTAGRAM","Bekijk Clash of Clans op Instagram!"
"TID_MORE_TWITCH","Bekijk livestreams van Clash of Clans op Twitch!"
"TID_MORE_TWITTER","Volg ons op Twitter! Tweet @clashofclans"
"TID_MORE_WECHAT","关注官方认证微信订阅号cocsupercell"
"TID_MORE_WECHAT_SERVICE","关注官方认证微信服务号coc-kefu"
"TID_MORE_WEIBO","请关注新浪蓝V认证微博@部落冲突Clash-of-Clans"
"TID_MORE_YOUKU","请关注部落冲突（Clash of Clans）官方优酷频道。"
"TID_MORE_YOUTUBE","Bekijk het YouTube-kanaal van Clash of Clans!"
"TID_MORTAR_INFO","De mortier kan hordes vijanden neermaaien met zijn vernietigende schot. Zorg dat vijanden niet te dicht in de buurt komen!"
"TID_MOUNTAIN_GOLEM","Berggolem"
"TID_MOUNTAIN_GOLEM_ABILITY_INFO","Vernietigt alle muren door ze simpelweg aan te raken."
"TID_MOUNTAIN_GOLEM_ABILITY_NAME","Verbrijzelen"
"TID_MOUNTAIN_GOLEM_INFO","Hoewel deze monsterlijke berg zo traag is als een slak, mogen zijn kristalharde vuisten niet onderschat worden. De berggolem geeft zijn vijanden ervan langs met de kracht van... een berg. Letterlijk."
"TID_MOVE","Verplaatsen"
"TID_MOVEMENT_SPEED","Bewegingssnelheid:"
"TID_MOVE_MASTER_BUILDER_CONFIRMATION","Wil je de meesterbouwer voorlopig naar het thuisdorp sturen?"
"TID_MOVE_MASTER_BUILDER_CONFIRMATION_BB","Wil je de meesterbouwer voorlopig naar de bouwersbasis sturen?"
"TID_MOVE_MASTER_BUILDER_CONFIRMATION_TITLE","Klaar om te reizen?"
"TID_MOVE_MASTER_BUILDER_ERROR_HUT","De meesterbouwkeet moet in het thuisdorp worden gebouwd."
"TID_MOVE_MASTER_BUILDER_ERROR_VILLAGE_BB","De meesterbouwer is momenteel in het thuisdorp"
"TID_MOVE_MASTER_BUILDER_ERROR_VILLAGE_HV","De meesterbouwer is momenteel in de bouwersbasis"
"TID_MOVE_OBSTACLE_CONFIRM","<booster> gebruiken om <obstacle> hierheen te verplaatsen?"
"TID_MOVE_OBSTACLE_CONFIRM_TITLE","<obstacle> verplaatsen"
"TID_MOVING_CANNON","Kanonnenkar"
"TID_MULTIDEVICE_INFO","Meld je aan met je Supercell ID-account om je voortgang veilig te stellen en op meerdere apparaten te spelen."
"TID_MULTIDEVICE_INFO_ANDROID","Meld je aan met je Supercell ID-account om je voortgang veilig te stellen en op meerdere apparaten te spelen."
"TID_MULTIDEVICE_INFO_KUNLUN","Als je op meerdere Android-apparaten wilt spelen, moet je Clash of Clans downloaden in dezelfde Android App Store en inloggen met hetzelfde account."
"TID_MULTIDEVICE_INFO_TENCENT","Als je op meerdere Android-apparaten wilt spelen, moet je je aanmelden met hetzelfde WeChat- of QQ-account."
"TID_MULTIPLAYER","Multiplayer"
"TID_MULTIPLAYER_BONUS_AVAILABLE_AGAIN","Volgende over: <time>"
"TID_MULTIPLAYER_COST","Kosten zoekactie:"
"TID_MULTIPLAYER_POINTS","Jouw trofeeën:"
"TID_MULTIPLAYER_SHIELD_COST","Aanvalskosten:"
"TID_MULTIPLAYER_STAR_BONUS","Sterbonus"
"TID_MULTIPLAYER_STAR_BONUS_BOOST_ACTIVE","<c66CC00><num>x sterbonusboost!</c>"
"TID_MULTIPLAYER_STAR_BONUS_EVENT_ACTIVE","<c66CC00><num>x-sterbonusevenement</c>"
"TID_MULTI_ARCHER_TOWER_INFO","Deze boogschutters werken samen om aanvallers sneller uit te schakelen dan ooit tevoren. Wat maakt ons sterk? Teamwerk!"
"TID_MULTI_MORTAR_INFO","Vuurt meerdere keren over een lange afstand schoten af die gebiedsschade veroorzaken waardoor de kans om het doelwit te raken optimaal is."
"TID_MUTE_PLAYER_BUTTON","Uitsluiten"
"TID_MY_ALLIANCE_TAB","Mijn clan"
"TID_MY_PROFILE_TAB","Mijn profiel"
"TID_NAMECHANGE_WARNING","Kies een gepaste naam"
"TID_NAME_ALREADY_CHANGED","Je kunt je naam maar één keer wijzigen."
"TID_NAME_ALREADY_IN_USE","Je gebruikt die naam al!"
"TID_NAME_CHANGED_SUCCESS","Je naam is gewijzigd!"
"TID_NAME_CHANGE_ALREADY_USED","Je hebt je naam al een keer gewijzigd"
"TID_NAME_CHANGE_IN_PROGRESS","Je kunt je naam niet wijzigen. De vorige naamswijziging is nog aan de gang."
"TID_NAME_CHANGE_LIMIT_EXCEEDED","Je hebt het maximumaantal naamswijzigingen overschreden."
"TID_NAME_CHANGE_ON_COOLDOWN","Je moet nog <time> wachten om je naam weer te wijzigen."
"TID_NAME_CHANGE_PREVENTED","Naamswijziging is niet toegestaan gedurende <time>."
"TID_NAME_CHANGE_TH_LEVEL_TOO_LOW","Een naamswijziging is beschikbaar vanaf stadhuislevel <level>"
"TID_NAME_INSTRUCTIONS","Kies een naam die je leuk vindt. Andere spelers kunnen je naam zien! Je kunt deze later wijzigen in de instellingen."
"TID_NAME_REPORT_TEXT","Weet je zeker dat je <name> wilt rapporteren als ongepaste naam?"
"TID_NAME_REPORT_TITLE","<name> rapporteren?"
"TID_NAME_TOO_SHORT","De naam is te kort!"
"TID_NAME_UNKNOWN","Onbekend"
"TID_NATIVE_DIALOG_TENCENT_ACCOUNT_CONFLICT_MESSAGE","Het account waarmee je je probeert aan te melden verschilt van het lokaal opgeslagen account. Wil je wisselen naar het nieuwe?"
"TID_NATIVE_DIALOG_TENCENT_ACCOUNT_CONFLICT_NO_BUTTON","Nee, gebruik het oorspronkelijke account."
"TID_NATIVE_DIALOG_TENCENT_ACCOUNT_CONFLICT_TITLE","Conflicterend account"
"TID_NATIVE_DIALOG_TENCENT_ACCOUNT_CONFLICT_YES_BUTTON","Ja, wissel naar het huidige account."
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_BUTTON","OK"
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE","We updaten het spel naar een nieuwe versie van Clash of Clans. Je dorp is binnenkort klaar. Kom snel weer kijken!"
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_TITLE","Updaten naar nieuwe versie"
"TID_NEED_TO_GIVE_WL_BONUSES","Je moet bonusmedailles van de oorlogsdivisie uitreiken voor je een oorlog kunt beginnen."
"TID_NERF_DAMAGE_PERCENTAGE","Schade afgenomen tot: <number>%"
"TID_NEW","Nieuw"
"TID_NEWVILLAGE_LOG_INFO","Wacht tot de tegenstander klaar is met aanvallen. De beste aanval wint!"
"TID_NEWVILLAGE_LOG_SEARCHING_INFO","Val een tegenstander aan terwijl hij of zij jou aanvalt. De beste aanval wint."
"TID_NEW_BEST","Nieuwe beste"
"TID_NEW_CLAN_MEMBER","Nieuw"
"TID_NEW_ITEMS_UNLOCKED","Nieuwe voorwerpen ontgrendeld"
"TID_NEW_PLAYER_PRIVACY_SETTINGS_ADVISORY","Het spel heeft instellingen voor persoonlijke informatie toegevoegd die standaard zijn uitgeschakeld. Wil je het spel toestemming geven om deze instellingen in te schakelen?\n\n✅ Weergeven in klassementen"
"TID_NEW_RAID","Nieuwe rooftocht"
"TID_NEXT","Volgende"
"TID_NEXT_LEAGUE","Volgende divisie:"
"TID_NEXT_LEVEL","Volgend level"
"TID_NEXT_MATCH","Volgende"
"TID_NEXT_RAID","Volgende rooftocht"
"TID_NEXT_REPLAY","Volgende herhaling"
"TID_NEXT_REQUEST","Volgend verzoek:"
"TID_NEXT_REWARDS","Volgende"
"TID_NO","Nee"
"TID_NOTES_LAST_EDITED","Laatst aangepast door: <cffffff><name></c>"
"TID_NOTHING_TO_PASTE","Er valt niets te plakken."
"TID_NOTICE_BOARD_FTUE_ACTIVITY",
"TID_NOTICE_BOARD_FTUE_SUBTEXT",
"TID_NOTICE_BOARD_FTUE_TITLE",
"TID_NOTIFICATION_ARMY","Legers"
"TID_NOTIFICATION_BUILDER_IS_BACK","De bouwvakker is terug!"
"TID_NOTIFICATION_CLAN_GAMES","Clanspelen"
"TID_NOTIFICATION_CLAN_WARS","Clanoorlogen"
"TID_NOTIFICATION_EVENTS","Evenementen"
"TID_NOTIFICATION_FORGE_COMPLETE","Er kan stadsgoud worden opgehaald in de smederij!"
"TID_NOTIFICATION_RESOURCES","Grondstoffen en dagelijkse bonussen"
"TID_NOTIFICATION_SHIELD_AND_GUARD","Schild en bescherming"
"TID_NOTIFICATION_UPGRADES","Upgrades"
"TID_NOTIFICATION_WL_DAY_CHANGED","Er begint een nieuwe dag in de clanoorlogsdivisies. Vandaag neemt je clan het op tegen <clan>."
"TID_NOTIFICATION_WL_ENDED","De clanoorlogsdivisies zijn afgelopen. Kom snel kijken hoe jouw clan het heeft gedaan!"
"TID_NOTIFICATION_WL_LEAGUE_STARTED","Je clan neemt deel aan de clanoorlogsdivisies."
"TID_NOTIFICATION_WL_SIGNUP_STARTED","Je kunt je nu aanmelden voor de clanoorlogsdivisies. Roem en beloningen wachten op je!"
"TID_NOT_ENOUGH_BOOSTER","Je hebt niet genoeg van dit artefact: <booster>."
"TID_NOT_ENOUGH_BOOSTERS","Je hebt niet genoeg exemplaren van dit magische artefact om dit te kunnen doen."
"TID_NOT_ENOUGH_BOOSTER_SPACE","Niet genoeg ruimte. Gebruik of verkoop opgeslagen magische artefacten om ruimte te maken."
"TID_NOT_ENOUGH_EVENT_TOKENS","Je hebt niet genoeg <hard_currency>. Verdien er meer door <soft_currency> te verzamelen."
"TID_NOT_ENOUGH_GEAR_RESOURCES","Niet genoeg upgradegrondstoffen!"
